file,chunk_index,rec_type,size,start_hex,header_hex,u32_0,u32_1,u32_2,u32_3,u16_8,u16_10,u16_12,u16_14,first_nonzero_after_0x10,zlib_like_offsets
/Users/acr/venus-braves/cdimage_unpacked/seven_data_link/scrdata/map/ev_sarai/ev_sarai.pma,1,2,160,0xD0,02000000ffff00005000000000000000,2,65535,80,0,80,0,0,0,16,
/Users/acr/venus-braves/cdimage_unpacked/seven_data_link/scrdata/map/ev_sarai/ev_sarai.pma,2,2,288,0x170,02000000ffff0000f000000000000000,2,65535,240,0,240,0,0,0,16,
/Users/acr/venus-braves/cdimage_unpacked/seven_data_link/scrdata/map/ev_sarai/ev_sarai.pma,3,2,928,0x290,02000000ffff00009001000000000000,2,65535,400,0,400,0,0,0,16,
/Users/acr/venus-braves/cdimage_unpacked/seven_data_link/scrdata/map/ev_sarai/ev_sarai.pma,4,2,2336,0x630,02000000ffff0000b002000000000000,2,65535,688,0,688,0,0,0,16,
/Users/acr/venus-braves/cdimage_unpacked/seven_data_link/scrdata/map/ev_sarai/ev_sarai.pma,5,2,1440,0xF50,02000000ffff00005006000000000000,2,65535,1616,0,1616,0,0,0,16,
/Users/acr/venus-braves/cdimage_unpacked/seven_data_link/scrdata/map/ev_sarai/ev_sarai.pma,6,2,2112,0x14F0,02000000ffff0000700f000000000000,2,65535,3952,0,3952,0,0,0,16,
/Users/acr/venus-braves/cdimage_unpacked/seven_data_link/scrdata/map/ev_sarai/ev_sarai.pma,7,2,1312,0x1D30,02000000ffff00001015000000000000,2,65535,5392,0,5392,0,0,0,16,
/Users/acr/venus-braves/cdimage_unpacked/seven_data_link/scrdata/map/ev_sarai/ev_sarai.pma,8,2,704,0x2250,02000000ffff0000501d000000000000,2,65535,7504,0,7504,0,0,0,16,
/Users/acr/venus-braves/cdimage_unpacked/seven_data_link/scrdata/map/ev_sarai/ev_sarai.pma,9,2,416,0x2510,02000000ffff00007022000000000000,2,65535,8816,0,8816,0,0,0,16,
/Users/acr/venus-braves/cdimage_unpacked/seven_data_link/scrdata/map/ev_sarai/ev_sarai.pma,10,2,160,0x26B0,02000000ffff00003025000000000000,2,65535,9520,0,9520,0,0,0,16,
/Users/acr/venus-braves/cdimage_unpacked/seven_data_link/scrdata/map/ev_sarai/ev_sarai.pma,11,2,416,0x2750,02000000ffff0000d026000000000000,2,65535,9936,0,9936,0,0,0,16,
/Users/acr/venus-braves/cdimage_unpacked/seven_data_link/scrdata/map/ev_sarai/ev_sarai.pma,12,2,384,0x28F0,02000000ffff00007027000000000000,2,65535,10096,0,10096,0,0,0,16,
/Users/acr/venus-braves/cdimage_unpacked/seven_data_link/scrdata/map/ev_sarai/ev_sarai.pma,13,2,2080,0x2A70,02000000ffff00001029000000000000,2,65535,10512,0,10512,0,0,0,16,
/Users/acr/venus-braves/cdimage_unpacked/seven_data_link/scrdata/map/ev_sarai/ev_sarai.pma,14,2,2848,0x3290,02000000ffff0000902a000000000000,2,65535,10896,0,10896,0,0,0,16,
/Users/acr/venus-braves/cdimage_unpacked/seven_data_link/scrdata/map/ev_sarai/ev_sarai.pma,15,2,2912,0x3DB0,02000000ffff0000b032000000000000,2,65535,12976,0,12976,0,0,0,16,0xd8
/Users/acr/venus-braves/cdimage_unpacked/seven_data_link/scrdata/map/ev_sarai/ev_sarai.pma,16,2,3072,0x4910,02000000ffff0000d03d000000000000,2,65535,15824,0,15824,0,0,0,16,
/Users/acr/venus-braves/cdimage_unpacked/seven_data_link/scrdata/map/ev_sarai/ev_sarai.pma,17,2,2720,0x5510,02000000ffff00003049000000000000,2,65535,18736,0,18736,0,0,0,16,
/Users/acr/venus-braves/cdimage_unpacked/seven_data_link/scrdata/map/ev_sarai/ev_sarai.pma,18,2,2016,0x5FB0,02000000ffff00003055000000000000,2,65535,21808,0,21808,0,0,0,16,
/Users/acr/venus-braves/cdimage_unpacked/seven_data_link/scrdata/map/ev_sarai/ev_sarai.pma,19,2,480,0x6790,02000000ffff0000d05f000000000000,2,65535,24528,0,24528,0,0,0,16,
/Users/acr/venus-braves/cdimage_unpacked/seven_data_link/scrdata/map/ev_sarai/ev_sarai.pma,20,2,160,0x6970,02000000ffff0000b067000000000000,2,65535,26544,0,26544,0,0,0,16,
/Users/acr/venus-braves/cdimage_unpacked/seven_data_link/scrdata/map/ev_sarai/ev_sarai.pma,21,2,1056,0x6A10,02000000ffff00009069000000000000,2,65535,27024,0,27024,0,0,0,16,
/Users/acr/venus-braves/cdimage_unpacked/seven_data_link/scrdata/map/ev_sarai/ev_sarai.pma,22,2,1248,0x6E30,02000000ffff0000306a000000000000,2,65535,27184,0,27184,0,0,0,16,
/Users/acr/venus-braves/cdimage_unpacked/seven_data_link/scrdata/map/ev_sarai/ev_sarai.pma,23,2,2368,0x7310,02000000ffff0000506e000000000000,2,65535,28240,0,28240,0,0,0,16,
/Users/acr/venus-braves/cdimage_unpacked/seven_data_link/scrdata/map/ev_sarai/ev_sarai.pma,24,2,2848,0x7C50,02000000ffff00003073000000000000,2,65535,29488,0,29488,0,0,0,16,
/Users/acr/venus-braves/cdimage_unpacked/seven_data_link/scrdata/map/ev_sarai/ev_sarai.pma,25,2,2592,0x8770,02000000ffff0000707c000000000000,2,65535,31856,0,31856,0,0,0,16,
