index,start_hex,end_hex,size,entropy,first_u32_hex,first_u16_hex,header8_hex,sha1_16,zlib_header_hits
0,0x0,0x170,368,5.9504,0x00414D50,0x4D50,504d410005000000,33803c711ca2429d,0
1,0x170,0x490,800,7.2162,0x00000002,0x0002,02000000ffff0000,cf43dcff4dfbaddf,0
2,0x490,0x770,736,7.2616,0x00000002,0x0002,02000000ffff0000,59c4eccc2f5a1c0f,0
3,0x770,0xB70,1024,7.4325,0x00000002,0x0002,02000000ffff0000,ecc2dc5452acdc58,0
4,0xB70,0xE90,800,7.3626,0x00000002,0x0002,02000000ffff0000,40a743073ffb330b,0
5,0xE90,0x1170,736,7.2025,0x00000002,0x0002,02000000ffff0000,4a71c120ca0ced22,0
6,0x1170,0x1430,704,7.2930,0x00000002,0x0002,02000000ffff0000,605e1f4a90243167,0
7,0x1430,0x16D0,672,6.9937,0x00000002,0x0002,02000000ffff0000,9c74bbcbd0fee035,0
8,0x16D0,0x1810,320,6.4472,0x00000002,0x0002,02000000ffff0000,fb7db83790e4eb5b,0
9,0x1810,0x1930,288,5.9146,0x00000002,0x0002,02000000ffff0000,63789ad178f07698,0
10,0x1930,0x1A50,288,6.0428,0x00000002,0x0002,02000000ffff0000,f14f1f6925b4e1ba,0
11,0x1A50,0x1DB0,864,7.3092,0x00000002,0x0002,02000000ffff0000,a46e69aac57833c3,0
12,0x1DB0,0x20B0,768,7.2392,0x00000002,0x0002,02000000ffff0000,da0f724a69de2bd0,0
13,0x20B0,0x2650,1440,7.4741,0x00000002,0x0002,02000000ffff0000,b5541d9cea275989,0
14,0x2650,0x2810,448,6.6268,0x00000002,0x0002,02000000ffff0000,18562a1e1fbc4871,0
15,0x2810,0x29D0,448,6.6124,0x00000002,0x0002,02000000ffff0000,6716a23c86e3debf,0
16,0x29D0,0x2C30,608,7.2023,0x00000002,0x0002,02000000ffff0000,0f90acaaca96f73d,0
17,0x2C30,0x2F10,736,7.1107,0x00000002,0x0002,02000000ffff0000,e21a0a53fded93ff,0
18,0x2F10,0x3010,256,6.0243,0x00000002,0x0002,02000000ffff0000,e385b39cde2aca3a,0
19,0x3010,0x30F0,224,5.5065,0x00000002,0x0002,02000000ffff0000,db4c6b63bcdbba1b,0
20,0x30F0,0x3230,320,6.2084,0x00000002,0x0002,02000000ffff0000,4ee9379b60184dc4,0
21,0x3230,0x35D0,928,7.3019,0x00000002,0x0002,02000000ffff0000,8efb11d94e8e3366,0
22,0x35D0,0x3BF0,1568,7.4788,0x00000002,0x0002,02000000ffff0000,b73f7f9de91f5f4a,0
23,0x3BF0,0x4030,1088,7.4032,0x00000002,0x0002,02000000ffff0000,b807e18d2d3b09d8,2
24,0x4030,0x4190,352,6.4595,0x00000002,0x0002,02000000ffff0000,510d640401df495e,0
25,0x4190,0x42F0,352,6.4379,0x00000002,0x0002,02000000ffff0000,01c9fbf9f08de546,0
26,0x42F0,0x44D0,480,6.8732,0x00000002,0x0002,02000000ffff0000,436015e0bea99984,0
27,0x44D0,0x4770,672,7.0533,0x00000002,0x0002,02000000ffff0000,e7f3c31478674ef1,0
28,0x4770,0x4850,224,5.4199,0x00000002,0x0002,02000000ffff0000,c8690743afd5f657,0
29,0x4850,0x4930,224,5.5712,0x00000002,0x0002,02000000ffff0000,bcaf6008f884c13f,0
30,0x4930,0x4B10,480,6.7191,0x00000002,0x0002,02000000ffff0000,796271b5186f5fee,0
31,0x4B10,0x4EB0,928,7.3146,0x00000002,0x0002,02000000ffff0000,5043e5a3b2a887e1,0
32,0x4EB0,0x54D0,1568,7.5511,0x00000002,0x0002,02000000ffff0000,5b6344dc51f90105,0
33,0x54D0,0x58D0,1024,7.4438,0x00000002,0x0002,02000000ffff0000,293b2d2877fef707,0
34,0x58D0,0x5AB0,480,6.7240,0x00000002,0x0002,02000000ffff0000,f38b769c6e975f7d,0
35,0x5AB0,0x5BF0,320,6.0112,0x00000002,0x0002,02000000ffff0000,4f8857f8eb68b70f,0
36,0x5BF0,0x5E90,672,7.1732,0x00000002,0x0002,02000000ffff0000,5779bf402e523f86,0
37,0x5E90,0x6130,672,6.9872,0x00000002,0x0002,02000000ffff0000,a45baf943810f916,0
38,0x6130,0x61F0,192,5.6334,0x00000002,0x0002,02000000ffff0000,7727e36c2d0f3eaa,0
39,0x61F0,0x62D0,224,5.4641,0x00000002,0x0002,02000000ffff0000,68608c07e9659a38,0
40,0x62D0,0x64B0,480,6.5610,0x00000002,0x0002,02000000ffff0000,d6a585db972437fa,0
41,0x64B0,0x68F0,1088,7.5292,0x00000002,0x0002,02000000ffff0000,2399b3ffc7a2cca1,0
42,0x68F0,0x7230,2368,7.6200,0x00000002,0x0002,02000000ffff0000,49017e3ee1796f5b,0
43,0x7230,0x76F0,1216,7.5532,0x00000002,0x0002,02000000ffff0000,0f2d724587ce6e56,0
44,0x76F0,0x7A30,832,7.3263,0x00000002,0x0002,02000000ffff0000,9db2c55f96047985,0
45,0x7A30,0x7C10,480,6.6930,0x00000002,0x0002,02000000ffff0000,ed70a1ba59d43b38,0
46,0x7C10,0x7F30,800,7.2918,0x00000002,0x0002,02000000ffff0000,9a38acf4aba5e09d,0
47,0x7F30,0x8150,544,6.9695,0x00000002,0x0002,02000000ffff0000,cc4a320e422e5271,0
48,0x8150,0x8210,192,5.1236,0x00000002,0x0002,02000000ffff0000,ced432a7303c9810,0
49,0x8210,0x8310,256,5.8840,0x00000002,0x0002,02000000ffff0000,e3fc619ffafc5441,0
50,0x8310,0x8490,384,6.6608,0x00000002,0x0002,02000000ffff0000,d841ee8c3803fcaf,0
51,0x8490,0x8C50,1984,7.5202,0x00000002,0x0002,02000000ffff0000,752ed08595b6de7a,0
52,0x8C50,0x92B0,1632,7.6263,0x00000002,0x0002,02000000ffff0000,892cb32129a038d1,0
53,0x92B0,0x9810,1376,7.5575,0x00000002,0x0002,02000000ffff0000,242f961802cfdf86,0
54,0x9810,0x9B50,832,7.3276,0x00000002,0x0002,02000000ffff0000,a37ddc94bcb91dc1,0
55,0x9B50,0x9DD0,640,7.0792,0x00000002,0x0002,02000000ffff0000,fcb3b0000be641e8,0
56,0x9DD0,0xA110,832,7.1905,0x00000002,0x0002,02000000ffff0000,799e63fb12177dba,0
57,0xA110,0xA290,384,6.2542,0x00000002,0x0002,02000000ffff0000,d2bb4444abd8b7dd,0
58,0xA290,0xA370,224,5.3716,0x00000002,0x0002,02000000ffff0000,71c301c410b54aff,0
59,0xA370,0xA4D0,352,6.3166,0x00000002,0x0002,02000000ffff0000,0b3f63a68dfca03c,0
60,0xA4D0,0xA7D0,768,7.0048,0x00000002,0x0002,02000000ffff0000,4f698ccb53f82734,0
