index,start_hex,end_hex,size,entropy,first_u32_hex,first_u16_hex,header8_hex,sha1_16,zlib_header_hits
0,0x0,0xD0,208,4.3409,0x00414D50,0x4D50,504d410005000000,b2061804fcd2ed5e,0
1,0xD0,0x170,160,4.4886,0x00000002,0x0002,02000000ffff0000,fdd2cfb1297dcb0c,0
2,0x170,0x290,288,6.2666,0x00000002,0x0002,02000000ffff0000,773a36481d3602ac,0
3,0x290,0x510,640,7.2270,0x00000002,0x0002,02000000ffff0000,9a7cae9ec8b247d4,0
4,0x510,0x7D0,704,7.2383,0x00000002,0x0002,02000000ffff0000,a140a6592601dc1d,0
5,0x7D0,0xAB0,736,7.3353,0x00000002,0x0002,02000000ffff0000,e7bb95f61348d2db,0
6,0xAB0,0xCF0,576,7.0793,0x00000002,0x0002,02000000ffff0000,552f9f78d823c773,0
7,0xCF0,0xDD0,224,5.4347,0x00000002,0x0002,02000000ffff0000,c4ad75cf10cedbe3,0
8,0xDD0,0xE70,160,4.7457,0x00000002,0x0002,02000000ffff0000,ccd5e23037e157fe,0
9,0xE70,0xF30,192,4.6918,0x00000002,0x0002,02000000ffff0000,2b2b79d810265db4,0
10,0xF30,0xFD0,160,4.9617,0x00000002,0x0002,02000000ffff0000,20849e6eebadeaa4,0
11,0xFD0,0x1070,160,5.1532,0x00000002,0x0002,02000000ffff0000,827abf7b5c3e0d10,0
12,0x1070,0x11B0,320,6.3090,0x00000002,0x0002,02000000ffff0000,a8a4c9be39beb928,0
13,0x11B0,0x1490,736,7.2667,0x00000002,0x0002,02000000ffff0000,037aa2ded2ac477a,0
14,0x1490,0x18B0,1056,7.3091,0x00000002,0x0002,02000000ffff0000,22cb2c01fcf5037c,0
15,0x18B0,0x1C50,928,7.3913,0x00000002,0x0002,02000000ffff0000,67b81fbad23aee75,0
16,0x1C50,0x1F70,800,7.2271,0x00000002,0x0002,02000000ffff0000,b4ba30b58bac8123,0
17,0x1F70,0x2130,448,6.4294,0x00000002,0x0002,02000000ffff0000,df93f26a027abb34,0
18,0x2130,0x21D0,160,5.0716,0x00000002,0x0002,02000000ffff0000,c69e66ef5cd938f4,0
19,0x21D0,0x2290,192,5.4116,0x00000002,0x0002,02000000ffff0000,2ad2ece3642720ff,0
20,0x2290,0x2350,192,4.7544,0x00000002,0x0002,02000000ffff0000,2456d6f1a5b7d237,0
21,0x2350,0x2430,224,5.8190,0x00000002,0x0002,02000000ffff0000,4340e002b3ceabf1,0
22,0x2430,0x2590,352,6.5434,0x00000002,0x0002,02000000ffff0000,f5633d126de4bc37,0
23,0x2590,0x28F0,864,7.3215,0x00000002,0x0002,02000000ffff0000,27532c79e17796b2,0
24,0x28F0,0x2CD0,992,7.3187,0x00000002,0x0002,02000000ffff0000,f6bb9a644894bb3b,0
25,0x2CD0,0x3070,928,7.3325,0x00000002,0x0002,02000000ffff0000,f0861f63e514ef53,0
