index,start_hex,end_hex,size,entropy,first_u32_hex,first_u16_hex,header8_hex,sha1_16,zlib_header_hits
0,0x0,0x290,656,6.8923,0x00414D50,0x4D50,504d410005000000,f2b7db55d48f6a11,0
1,0x290,0x390,256,6.0125,0x00000002,0x0002,02000000ffff0000,582b2895af10b408,0
2,0x390,0x4B0,288,5.7350,0x00000002,0x0002,02000000ffff0000,a9007afbd46742ee,0
3,0x4B0,0x750,672,7.1698,0x00000002,0x0002,02000000ffff0000,83d184300a41ade2,0
4,0x750,0xD90,1600,7.5963,0x00000002,0x0002,02000000ffff0000,d88b275968fddd8c,0
5,0xD90,0x1350,1472,7.4928,0x00000002,0x0002,02000000ffff0000,9e865eac5faa922d,0
6,0x1350,0x15B0,608,7.0838,0x00000002,0x0002,02000000ffff0000,ce3778700dbb1bc6,0
7,0x15B0,0x17F0,576,7.0577,0x00000002,0x0002,02000000ffff0000,07f6f4bedb89872b,0
8,0x17F0,0x1950,352,6.4136,0x00000002,0x0002,02000000ffff0000,e117f75837bb2f7b,0
9,0x1950,0x1AB0,352,6.2872,0x00000002,0x0002,02000000ffff0000,be7610eb7d39bfa2,0
10,0x1AB0,0x1C30,384,6.5512,0x00000002,0x0002,02000000ffff0000,5af27c39d9cf6cd5,0
11,0x1C30,0x1E50,544,6.8392,0x00000002,0x0002,02000000ffff0000,0ef316cf1fd12e14,0
12,0x1E50,0x1FB0,352,6.4584,0x00000002,0x0002,02000000ffff0000,3ca8536fec4a85cd,0
13,0x1FB0,0x2270,704,7.1472,0x00000002,0x0002,02000000ffff0000,5e79f25feda8e901,0
14,0x2270,0x2AB0,2112,7.6993,0x00000002,0x0002,02000000ffff0000,69b4726deca3399e,0
15,0x2AB0,0x3250,1952,7.6269,0x00000002,0x0002,02000000ffff0000,cb66e7d1e56d5e04,0
16,0x3250,0x34F0,672,7.1448,0x00000002,0x0002,02000000ffff0000,b9dc5c3552fd35fb,0
17,0x34F0,0x3690,416,6.5418,0x00000002,0x0002,02000000ffff0000,c56741bcfe5bfb23,0
18,0x3690,0x3830,416,6.4373,0x00000002,0x0002,02000000ffff0000,67d8e90b13e0453f,0
19,0x3830,0x39F0,448,6.7795,0x00000002,0x0002,02000000ffff0000,dc8f670ed557aea6,0
20,0x39F0,0x3D10,800,7.2049,0x00000002,0x0002,02000000ffff0000,f698300a3d6dae2b,0
21,0x3D10,0x3ED0,448,6.5789,0x00000002,0x0002,02000000ffff0000,84bc4e8ddf9cd903,0
22,0x3ED0,0x4050,384,6.3275,0x00000002,0x0002,02000000ffff0000,c4f3a999228d8cbc,0
23,0x4050,0x4290,576,6.9533,0x00000002,0x0002,02000000ffff0000,cb035b31de3212a2,0
24,0x4290,0x4BB0,2336,7.6766,0x00000002,0x0002,02000000ffff0000,98b6209b8e24f701,2
25,0x4BB0,0x53F0,2112,7.6333,0x00000002,0x0002,02000000ffff0000,e71a5cc02883410a,0
26,0x53F0,0x5670,640,7.1192,0x00000002,0x0002,02000000ffff0000,2718f5481dbe348e,0
27,0x5670,0x57F0,384,6.5840,0x00000002,0x0002,02000000ffff0000,4c8d32d50ea7e42f,0
28,0x57F0,0x5A50,608,7.0380,0x00000002,0x0002,02000000ffff0000,c5e906a818ccb81a,0
29,0x5A50,0x5C50,512,6.7135,0x00000002,0x0002,02000000ffff0000,8988ef3653ea9877,0
30,0x5C50,0x5EB0,608,6.9600,0x00000002,0x0002,02000000ffff0000,aafb4161773d2857,0
31,0x5EB0,0x61F0,832,7.2881,0x00000002,0x0002,02000000ffff0000,a6f14962e2a34c37,0
32,0x61F0,0x6510,800,7.2986,0x00000002,0x0002,02000000ffff0000,8dc133dd853891cf,0
33,0x6510,0x6810,768,7.3005,0x00000002,0x0002,02000000ffff0000,8ca7bab6ae1f1c14,0
34,0x6810,0x7010,2048,7.6847,0x00000002,0x0002,02000000ffff0000,3d4c7348a881cc8a,0
35,0x7010,0x7770,1888,7.6426,0x00000002,0x0002,02000000ffff0000,9185b6fda396b076,0
36,0x7770,0x79D0,608,6.9726,0x00000002,0x0002,02000000ffff0000,edaa4d61118d31fe,0
37,0x79D0,0x7C30,608,7.1046,0x00000002,0x0002,02000000ffff0000,9ae50f2685111ac9,0
38,0x7C30,0x7E90,608,6.9689,0x00000002,0x0002,02000000ffff0000,5993301d51e32d2d,0
39,0x7E90,0x8030,416,6.6982,0x00000002,0x0002,02000000ffff0000,1697f4938d1e20a7,0
40,0x8030,0x8370,832,7.3045,0x00000002,0x0002,02000000ffff0000,4d5d5c6b49c46b17,0
41,0x8370,0x8850,1248,7.4416,0x00000002,0x0002,02000000ffff0000,cfe43dcdcb1cd645,0
42,0x8850,0x8BF0,928,7.3429,0x00000002,0x0002,02000000ffff0000,8a5c4d474c02f725,0
43,0x8BF0,0x8ED0,736,7.2463,0x00000002,0x0002,02000000ffff0000,b88ec57a36a05c2d,0
44,0x8ED0,0x97B0,2272,7.6986,0x00000002,0x0002,02000000ffff0000,2448ad8d17cc72cc,0
45,0x97B0,0xA070,2240,7.6590,0x00000002,0x0002,02000000ffff0000,c7d2b890b96350d9,0
46,0xA070,0xA2F0,640,7.1375,0x00000002,0x0002,02000000ffff0000,1734364153982091,0
47,0xA2F0,0xA590,672,6.9821,0x00000002,0x0002,02000000ffff0000,19ec33413b3ca4eb,0
48,0xA590,0xA810,640,7.1388,0x00000002,0x0002,02000000ffff0000,7a4e163b1ecd83ec,0
49,0xA810,0xA9B0,416,6.4568,0x00000002,0x0002,02000000ffff0000,ce0418a43ef49fb5,0
