index,start_hex,end_hex,size,entropy,first_u32_hex,first_u16_hex,header8_hex,sha1_16,zlib_header_hits
0,0x0,0xD0,208,4.6068,0x00414D50,0x4D50,504d410005000000,0af65ff9954699ed,0
1,0xD0,0x2B0,480,6.9207,0x00000002,0x0002,02000000ffff0000,5f1988c510d2734a,0
2,0x2B0,0x430,384,6.5816,0x00000002,0x0002,02000000ffff0000,0c0585ed3d32146a,0
3,0x430,0x730,768,7.0401,0x00000002,0x0002,02000000ffff0000,9a3d6ad610e04f7f,0
4,0x730,0xBD0,1184,7.5027,0x00000002,0x0002,02000000ffff0000,1c64a52841873000,0
5,0xBD0,0x1190,1472,7.6213,0x00000002,0x0002,02000000ffff0000,4caa323ab78310df,0
6,0x1190,0x1430,672,7.0807,0x00000002,0x0002,02000000ffff0000,5e8e71f7b659deeb,2
7,0x1430,0x1630,512,6.7099,0x00000002,0x0002,02000000ffff0000,6a5433db7389e8ea,0
8,0x1630,0x17B0,384,6.4602,0x00000002,0x0002,02000000ffff0000,2d756d10b8a0bdb2,0
9,0x17B0,0x1850,160,4.1794,0x00000002,0x0002,02000000ffff0000,f0801e3c79d3d461,0
10,0x1850,0x1930,224,5.6468,0x00000002,0x0002,02000000ffff0000,a5b2ebf359006614,0
11,0x1930,0x1C70,832,7.1989,0x00000002,0x0002,02000000ffff0000,0d6172be489c8569,0
12,0x1C70,0x2650,2528,7.7351,0x00000002,0x0002,02000000ffff0000,d056d09df37281ce,0
13,0x2650,0x2EB0,2144,7.7106,0x00000002,0x0002,02000000ffff0000,fb83ddf1921244bd,0
14,0x2EB0,0x3770,2240,7.7465,0x00000002,0x0002,02000000ffff0000,2c5b3e205d77b2b0,0
15,0x3770,0x4090,2336,7.7574,0x00000002,0x0002,02000000ffff0000,ddc1d9064d2c7f47,0
16,0x4090,0x48F0,2144,7.7163,0x00000002,0x0002,02000000ffff0000,3ddd8a19c42f7261,0
17,0x48F0,0x5130,2112,7.6623,0x00000002,0x0002,02000000ffff0000,86463db7a6e57d58,0
18,0x5130,0x5530,1024,7.3868,0x00000002,0x0002,02000000ffff0000,8997afd7e4456d82,0
19,0x5530,0x5610,224,5.2622,0x00000002,0x0002,02000000ffff0000,64cdaffccd962e46,0
20,0x5610,0x56F0,224,5.7878,0x00000002,0x0002,02000000ffff0000,5c1b8ebb9c12a1db,0
21,0x56F0,0x5AD0,992,7.4773,0x00000002,0x0002,02000000ffff0000,66cedc20b3cd2bcb,0
22,0x5AD0,0x63D0,2304,7.7228,0x00000002,0x0002,02000000ffff0000,3cdd46420d4cb044,0
23,0x63D0,0x6E70,2720,7.7281,0x00000002,0x0002,02000000ffff0000,05d91b9e610cc790,0
24,0x6E70,0x76F0,2176,7.7303,0x00000002,0x0002,02000000ffff0000,ef8169c7982b2157,0
25,0x76F0,0x7F30,2112,7.6832,0x00000002,0x0002,02000000ffff0000,940bbcb270d58a3e,0
26,0x7F30,0x8890,2400,7.6836,0x00000002,0x0002,02000000ffff0000,b8053dc00328adeb,0
27,0x8890,0x9350,2752,7.7334,0x00000002,0x0002,02000000ffff0000,c16a66751606ca9d,0
28,0x9350,0x9570,544,7.0117,0x00000002,0x0002,02000000ffff0000,beab50a42d1018c0,0
29,0x9570,0x9650,224,5.4875,0x00000002,0x0002,02000000ffff0000,65d01e28b5db4f64,0
30,0x9650,0x96F0,160,4.5924,0x00000002,0x0002,02000000ffff0000,8045f6c5ab4537bf,0
31,0x96F0,0x9A10,800,7.2967,0x00000002,0x0002,02000000ffff0000,fd67443aefdc9ba3,0
32,0x9A10,0xA590,2944,7.6901,0x00000002,0x0002,02000000ffff0000,af9d9f453d594616,0
33,0xA590,0xAE90,2304,7.7291,0x00000002,0x0002,02000000ffff0000,3c49c731d5d465b1,0
34,0xAE90,0xB550,1728,7.5413,0x00000002,0x0002,02000000ffff0000,7a923889e9e991a8,0
35,0xB550,0xBBF0,1696,7.5678,0x00000002,0x0002,02000000ffff0000,76dc0d9f22214dcb,0
36,0xBBF0,0xC350,1888,7.6228,0x00000002,0x0002,02000000ffff0000,67e0b9d665b46f4f,0
37,0xC350,0xCE70,2848,7.7095,0x00000002,0x0002,02000000ffff0000,d7382bd6da26c868,0
38,0xCE70,0xD170,768,7.3302,0x00000002,0x0002,02000000ffff0000,927269651e240342,0
39,0xD170,0xD270,256,5.6053,0x00000002,0x0002,02000000ffff0000,1a586ee5ae8f6312,0
40,0xD270,0xD350,224,5.8280,0x00000002,0x0002,02000000ffff0000,798ebc96c7beef33,0
41,0xD350,0xD5D0,640,7.0783,0x00000002,0x0002,02000000ffff0000,211ac0c6fab0b671,0
42,0xD5D0,0xE070,2720,7.7289,0x00000002,0x0002,02000000ffff0000,a40e803cb1800e0b,0
43,0xE070,0xE870,2048,7.6391,0x00000002,0x0002,02000000ffff0000,5b349989a1cae129,2
44,0xE870,0xED90,1312,7.5021,0x00000002,0x0002,02000000ffff0000,68973873dfb875aa,0
45,0xED90,0xF290,1280,7.4826,0x00000002,0x0002,02000000ffff0000,5d8a6c2566a82f60,0
46,0xF290,0xFA70,2016,7.6566,0x00000002,0x0002,02000000ffff0000,9ce0dfeafb19f840,2
47,0xFA70,0x101F0,1920,7.6866,0x00000002,0x0002,02000000ffff0000,6dcc9926df9eac04,2
48,0x101F0,0x104D0,736,7.2211,0x00000002,0x0002,02000000ffff0000,563fb99e6089557a,0
49,0x104D0,0x105B0,224,5.7224,0x00000002,0x0002,02000000ffff0000,5925fcee0aaf1213,0
50,0x105B0,0x106F0,320,6.3065,0x00000002,0x0002,02000000ffff0000,e981a68f156cae10,0
51,0x106F0,0x10A50,864,7.1816,0x00000002,0x0002,02000000ffff0000,99e3674479a1cc1f,0
52,0x10A50,0x114B0,2656,7.7024,0x00000002,0x0002,02000000ffff0000,31d9a0813e863a0f,0
53,0x114B0,0x11D90,2272,7.6916,0x00000002,0x0002,02000000ffff0000,6cad2efe80663f1d,0
54,0x11D90,0x123D0,1600,7.5809,0x00000002,0x0002,02000000ffff0000,5c00de8708b47226,0
55,0x123D0,0x12AD0,1792,7.6413,0x00000002,0x0002,02000000ffff0000,25fdd35bbddf72d7,0
56,0x12AD0,0x132B0,2016,7.7108,0x00000002,0x0002,02000000ffff0000,8b2f3094d61d0d94,0
57,0x132B0,0x13C30,2432,7.7192,0x00000002,0x0002,02000000ffff0000,21104e5ebd3a376c,0
58,0x13C30,0x14110,1248,7.4955,0x00000002,0x0002,02000000ffff0000,e96bdea6831cb72f,0
59,0x14110,0x141F0,224,5.5517,0x00000002,0x0002,02000000ffff0000,5b2761c6abb22ee4,0
60,0x141F0,0x142D0,224,5.7982,0x00000002,0x0002,02000000ffff0000,5d758de6067ebe33,0
61,0x142D0,0x14930,1632,7.6497,0x00000002,0x0002,02000000ffff0000,66276d12ab5e726d,0
62,0x14930,0x151B0,2176,7.7015,0x00000002,0x0002,02000000ffff0000,69795b3a8b793116,0
63,0x151B0,0x15CB0,2816,7.7041,0x00000002,0x0002,02000000ffff0000,d23758ccf4b2ca8d,0
64,0x15CB0,0x166F0,2624,7.7341,0x00000002,0x0002,02000000ffff0000,7dac23bf8391526a,0
65,0x166F0,0x17150,2656,7.6932,0x00000002,0x0002,02000000ffff0000,789542dc0d98c2a4,0
66,0x17150,0x17B90,2624,7.7180,0x00000002,0x0002,02000000ffff0000,84ea89e79fd3d3b0,2
67,0x17B90,0x18330,1952,7.6738,0x00000002,0x0002,02000000ffff0000,3831f42086508fb7,0
68,0x18330,0x189D0,1696,7.5847,0x00000002,0x0002,02000000ffff0000,f22a60ee2cf25f1c,2
69,0x189D0,0x18AB0,224,5.7303,0x00000002,0x0002,02000000ffff0000,4b5da15792131ec8,0
70,0x18AB0,0x18BF0,320,6.2097,0x00000002,0x0002,02000000ffff0000,42ecfd1f725f0f21,0
71,0x18BF0,0x191D0,1504,7.5379,0x00000002,0x0002,02000000ffff0000,25b3f5db9623876d,0
72,0x191D0,0x19B90,2496,7.6956,0x00000002,0x0002,02000000ffff0000,6d1c7a429723f015,0
73,0x19B90,0x1A310,1920,7.6709,0x00000002,0x0002,02000000ffff0000,779fd24662b3ba94,0
74,0x1A310,0x1AB30,2080,7.6861,0x00000002,0x0002,02000000ffff0000,5d95ea15e6280b55,0
75,0x1AB30,0x1B1F0,1728,7.6426,0x00000002,0x0002,02000000ffff0000,c6a44b5ea893cfef,0
76,0x1B1F0,0x1BB90,2464,7.7144,0x00000002,0x0002,02000000ffff0000,e5510911e94f8569,0
77,0x1BB90,0x1C0B0,1312,7.5252,0x00000002,0x0002,02000000ffff0000,a47ec1995ae8d63a,0
