index,start_hex,end_hex,size,entropy,first_u32_hex,first_u16_hex,header8_hex,sha1_16,zlib_header_hits
0,0x0,0xF0,240,5.0290,0x00414D50,0x4D50,504d410005000000,ccfdf91d1461e8ad,0
1,0xF0,0x1F0,256,5.5341,0x00000002,0x0002,02000000ffff0000,bea6bb8b0abf1005,0
2,0x1F0,0x3D0,480,6.8033,0x00000002,0x0002,02000000ffff0000,1881af252f537e91,0
3,0x3D0,0x650,640,7.0417,0x00000002,0x0002,02000000ffff0000,0972ce5fa2ee3a3f,0
4,0x650,0x850,512,6.7087,0x00000002,0x0002,02000000ffff0000,fdd05ee27ed10db5,0
5,0x850,0xA10,448,6.6064,0x00000002,0x0002,02000000ffff0000,ffbe1d3e5a6a3bdb,0
6,0xA10,0xC50,576,6.9090,0x00000002,0x0002,02000000ffff0000,4f6cb3b9b413d7b6,0
7,0xC50,0xE50,512,6.8617,0x00000002,0x0002,02000000ffff0000,054ac90c7689a6bc,0
8,0xE50,0xF70,288,5.9351,0x00000002,0x0002,02000000ffff0000,477d56f76ca9b371,0
9,0xF70,0x1110,416,6.7768,0x00000002,0x0002,02000000ffff0000,7a53df5c0164a17d,0
10,0x1110,0x11D0,192,5.5754,0x00000002,0x0002,02000000ffff0000,f689c57f2b195b04,0
11,0x11D0,0x1330,352,6.1316,0x00000002,0x0002,02000000ffff0000,23c4a5e16e23950c,0
12,0x1330,0x1530,512,6.9615,0x00000002,0x0002,02000000ffff0000,eaa83623455c97f6,0
13,0x1530,0x17F0,704,7.1538,0x00000002,0x0002,02000000ffff0000,069210b31e7a1b04,0
14,0x17F0,0x1930,320,6.0879,0x00000002,0x0002,02000000ffff0000,36cd4dc34d15b888,0
15,0x1930,0x1AB0,384,6.5708,0x00000002,0x0002,02000000ffff0000,44e146d1bf42633a,0
16,0x1AB0,0x1C90,480,6.9113,0x00000002,0x0002,02000000ffff0000,8daa3110012ae032,0
17,0x1C90,0x1E30,416,6.4484,0x00000002,0x0002,02000000ffff0000,3aed5dfd090aef9b,0
18,0x1E30,0x1FD0,416,6.5401,0x00000002,0x0002,02000000ffff0000,640ef6e7b9f95a3a,0
19,0x1FD0,0x2170,416,6.7600,0x00000002,0x0002,02000000ffff0000,3333dcc737c4c8ed,0
20,0x2170,0x2250,224,5.4416,0x00000002,0x0002,02000000ffff0000,94cfbbda27695a4e,0
21,0x2250,0x23D0,384,6.6195,0x00000002,0x0002,02000000ffff0000,f5bdda932f74277e,0
