index,start_hex,end_hex,size,entropy,first_u32_hex,first_u16_hex,header8_hex,sha1_16,zlib_header_hits
0,0x0,0x230,560,6.7535,0x00414D50,0x4D50,504d410005000000,becbf1e00bb376a5,0
1,0x230,0x3D0,416,6.5730,0x00000002,0x0002,02000000ffff0000,76eb0cd9331e50d0,0
2,0x3D0,0x550,384,6.4831,0x00000002,0x0002,02000000ffff0000,c05d0e898b898eb5,0
3,0x550,0x770,544,7.0123,0x00000002,0x0002,02000000ffff0000,13ddf53afeb3d42a,0
4,0x770,0x930,448,6.6845,0x00000002,0x0002,02000000ffff0000,bf7526ba4c64a66a,0
5,0x930,0xA90,352,6.1752,0x00000002,0x0002,02000000ffff0000,8c3e897c81c24e09,0
6,0xA90,0xBF0,352,6.4786,0x00000002,0x0002,02000000ffff0000,0a4fe53a531c1e40,0
7,0xBF0,0xDB0,448,6.8032,0x00000002,0x0002,02000000ffff0000,c98ad3160f51cbdf,0
8,0xDB0,0xFB0,512,7.0178,0x00000002,0x0002,02000000ffff0000,411838b5bf7f01d0,0
9,0xFB0,0x1170,448,6.8505,0x00000002,0x0002,02000000ffff0000,dd05174329f410ad,0
10,0x1170,0x12B0,320,6.3436,0x00000002,0x0002,02000000ffff0000,c8979ffd0656908f,0
11,0x12B0,0x13D0,288,6.3546,0x00000002,0x0002,02000000ffff0000,8821600b3a06e5ef,0
12,0x13D0,0x1530,352,6.3590,0x00000002,0x0002,02000000ffff0000,cdd22518598cd8bb,0
13,0x1530,0x16F0,448,6.5073,0x00000002,0x0002,02000000ffff0000,3aa2ecdc162ecdcf,0
14,0x16F0,0x1870,384,6.3038,0x00000002,0x0002,02000000ffff0000,e20fb19aba08561a,0
15,0x1870,0x19B0,320,6.0228,0x00000002,0x0002,02000000ffff0000,48dd96b24371a063,0
16,0x19B0,0x1AD0,288,6.0034,0x00000002,0x0002,02000000ffff0000,fbb6cce0a45e74cf,0
17,0x1AD0,0x1C90,448,6.6671,0x00000002,0x0002,02000000ffff0000,df64c0e775531a7b,0
18,0x1C90,0x1E90,512,6.8564,0x00000002,0x0002,02000000ffff0000,f405fdecf30dc380,0
19,0x1E90,0x2030,416,6.5430,0x00000002,0x0002,02000000ffff0000,ddf7b2cda572e6d5,0
20,0x2030,0x2150,288,5.9169,0x00000002,0x0002,02000000ffff0000,a106140a4fc386eb,0
21,0x2150,0x22B0,352,6.3208,0x00000002,0x0002,02000000ffff0000,35797afa9d0da5b6,0
22,0x22B0,0x23B0,256,5.9338,0x00000002,0x0002,02000000ffff0000,db82d477b56d784d,0
23,0x23B0,0x2510,352,6.2187,0x00000002,0x0002,02000000ffff0000,9d787bb9538ad43c,0
24,0x2510,0x2690,384,6.2978,0x00000002,0x0002,02000000ffff0000,ce33c6ddc0137b6a,0
25,0x2690,0x27D0,320,6.4259,0x00000002,0x0002,02000000ffff0000,1bc3fea0c5778894,0
26,0x27D0,0x2910,320,6.0516,0x00000002,0x0002,02000000ffff0000,b5f2bbb1b57a5e9c,0
27,0x2910,0x2A30,288,6.2762,0x00000002,0x0002,02000000ffff0000,d306c649d2d903d2,0
28,0x2A30,0x2BB0,384,6.3769,0x00000002,0x0002,02000000ffff0000,4e7e0c889df3c800,0
