index,start_hex,end_hex,size,entropy,first_u32_hex,first_u16_hex,header8_hex,sha1_16,zlib_header_hits
0,0x0,0x1B0,432,6.2339,0x00414D50,0x4D50,504d410005000000,3f2782d287536e2a,0
1,0x1B0,0x450,672,7.0537,0x00000002,0x0002,02000000ffff0000,d7d66befe0013138,0
2,0x450,0x650,512,6.6459,0x00000002,0x0002,02000000ffff0000,02218430591b8b4d,0
3,0x650,0x870,544,7.0362,0x00000002,0x0002,02000000ffff0000,05e6f9621a0d0dea,0
4,0x870,0xA50,480,6.6829,0x00000002,0x0002,02000000ffff0000,65a99e17d7e60069,0
5,0xA50,0xCB0,608,6.9080,0x00000002,0x0002,02000000ffff0000,50e7d56fee538b1e,0
6,0xCB0,0xD70,192,5.3636,0x00000002,0x0002,02000000ffff0000,8a0e8fab6cb09502,0
7,0xD70,0xE10,160,3.8522,0x00000002,0x0002,02000000ffff0000,605b4b1953158645,0
8,0xE10,0xFF0,480,6.6574,0x00000002,0x0002,02000000ffff0000,12f53e4fa718c874,0
9,0xFF0,0x1290,672,7.0502,0x00000002,0x0002,02000000ffff0000,3b99d69b03b5e454,0
10,0x1290,0x1410,384,6.4965,0x00000002,0x0002,02000000ffff0000,2c803cfd959d056e,0
11,0x1410,0x1610,512,6.8712,0x00000002,0x0002,02000000ffff0000,38281a5b6127707a,0
12,0x1610,0x1830,544,6.9967,0x00000002,0x0002,02000000ffff0000,2cd7610ec7c6f3ea,0
13,0x1830,0x1BD0,928,7.4050,0x00000002,0x0002,02000000ffff0000,5f01b76f6ee73712,2
14,0x1BD0,0x2010,1088,7.3278,0x00000002,0x0002,02000000ffff0000,58a17ea933a1a34a,0
15,0x2010,0x2310,768,7.1973,0x00000002,0x0002,02000000ffff0000,0bc8b7848e198e36,0
16,0x2310,0x2570,608,7.1978,0x00000002,0x0002,02000000ffff0000,88d439317f6df020,0
17,0x2570,0x2610,160,3.8284,0x00000002,0x0002,02000000ffff0000,316659be5290936e,0
18,0x2610,0x2750,320,6.4242,0x00000002,0x0002,02000000ffff0000,5d148e8f6ad928ea,0
19,0x2750,0x28D0,384,6.4217,0x00000002,0x0002,02000000ffff0000,14a03ce05e235166,0
20,0x28D0,0x2A10,320,5.9105,0x00000002,0x0002,02000000ffff0000,0c7d25f960d2473d,0
21,0x2A10,0x2B10,256,5.6959,0x00000002,0x0002,02000000ffff0000,2682720e59f4bccc,0
22,0x2B10,0x2D70,608,7.0802,0x00000002,0x0002,02000000ffff0000,a80859d5a65e2924,0
23,0x2D70,0x3070,768,7.1439,0x00000002,0x0002,02000000ffff0000,89232d3e91edddab,0
24,0x3070,0x35D0,1376,7.4402,0x00000002,0x0002,02000000ffff0000,ebf726038b350f24,0
25,0x35D0,0x3B10,1344,7.3925,0x00000002,0x0002,02000000ffff0000,a5e25fb7bb0e7915,0
26,0x3B10,0x3DD0,704,7.1298,0x00000002,0x0002,02000000ffff0000,071ecfc16e26c8b2,0
27,0x3DD0,0x3F50,384,6.3810,0x00000002,0x0002,02000000ffff0000,25dc2ca76edd0576,0
28,0x3F50,0x40B0,352,6.5229,0x00000002,0x0002,02000000ffff0000,d3fc5e9f770e3835,0
29,0x40B0,0x4210,352,6.1496,0x00000002,0x0002,02000000ffff0000,1cb8df9a719db57a,0
30,0x4210,0x43F0,480,6.8008,0x00000002,0x0002,02000000ffff0000,baaf4fdc7270cbe0,0
31,0x43F0,0x4570,384,6.7335,0x00000002,0x0002,02000000ffff0000,e3d70a7bc5d0ed7c,0
32,0x4570,0x4AB0,1344,7.4665,0x00000002,0x0002,02000000ffff0000,599deef248534b55,0
33,0x4AB0,0x4F70,1216,7.4877,0x00000002,0x0002,02000000ffff0000,61123f4674f7979b,0
34,0x4F70,0x53B0,1088,7.3188,0x00000002,0x0002,02000000ffff0000,febc98ff397dfb18,0
35,0x53B0,0x5870,1216,7.3991,0x00000002,0x0002,02000000ffff0000,08bdd1efd8d823cd,0
36,0x5870,0x5C90,1056,7.3689,0x00000002,0x0002,02000000ffff0000,2acc787eeca8afae,0
37,0x5C90,0x5FB0,800,7.1446,0x00000002,0x0002,02000000ffff0000,959c015373a8275b,0
38,0x5FB0,0x6190,480,6.6021,0x00000002,0x0002,02000000ffff0000,9d724baf35c4bb5b,0
39,0x6190,0x6310,384,6.4638,0x00000002,0x0002,02000000ffff0000,d6ce9071a3a98be9,0
40,0x6310,0x64D0,448,6.5693,0x00000002,0x0002,02000000ffff0000,eb50f11f053a444b,0
41,0x64D0,0x67D0,768,7.0739,0x00000002,0x0002,02000000ffff0000,8a2e3a354003b321,0
42,0x67D0,0x6B30,864,7.2940,0x00000002,0x0002,02000000ffff0000,8e8d5157b97a78dc,0
43,0x6B30,0x71D0,1696,7.5775,0x00000002,0x0002,02000000ffff0000,b60960a622700975,0
44,0x71D0,0x77B0,1504,7.5343,0x00000002,0x0002,02000000ffff0000,f8b9ecd4ae87f861,0
45,0x77B0,0x7C10,1120,7.4111,0x00000002,0x0002,02000000ffff0000,09dab117b206172e,0
46,0x7C10,0x81F0,1504,7.4717,0x00000002,0x0002,02000000ffff0000,6a67b32c42e12113,0
47,0x81F0,0x8530,832,7.2845,0x00000002,0x0002,02000000ffff0000,2375e8c04149bf25,0
48,0x8530,0x8690,352,6.4344,0x00000002,0x0002,02000000ffff0000,2ffe9feb89d4ca46,0
49,0x8690,0x8870,480,6.8592,0x00000002,0x0002,02000000ffff0000,c5cd3483b7d7d7f0,0
50,0x8870,0x89F0,384,6.5946,0x00000002,0x0002,02000000ffff0000,61e6b15a6fada898,0
51,0x89F0,0x8CD0,736,7.1921,0x00000002,0x0002,02000000ffff0000,d97369963c5308d4,0
52,0x8CD0,0x8F90,704,7.0834,0x00000002,0x0002,02000000ffff0000,12ed76f4cdb30c3e,0
53,0x8F90,0x9550,1472,7.4772,0x00000002,0x0002,02000000ffff0000,34a6b4d6012a82cc,0
54,0x9550,0x9C90,1856,7.5924,0x00000002,0x0002,02000000ffff0000,61e2a439a6b38a36,0
55,0x9C90,0x9FF0,864,7.2900,0x00000002,0x0002,02000000ffff0000,4457b21354a34fc3,0
56,0x9FF0,0xA610,1568,7.5216,0x00000002,0x0002,02000000ffff0000,ec27d0c8a4dd57f8,0
57,0xA610,0xA890,640,7.0576,0x00000002,0x0002,02000000ffff0000,7b17432cc8ccd921,0
58,0xA890,0xAA50,448,6.6734,0x00000002,0x0002,02000000ffff0000,58d026a3682a9ad3,0
59,0xAA50,0xAC90,576,6.7330,0x00000002,0x0002,02000000ffff0000,14ecf91636897922,0
60,0xAC90,0xAE10,384,6.4920,0x00000002,0x0002,02000000ffff0000,a1186c30ceb63f85,0
61,0xAE10,0xB0B0,672,7.0634,0x00000002,0x0002,02000000ffff0000,2b868bfcb67f6bc5,0
62,0xB0B0,0xB310,608,6.9451,0x00000002,0x0002,02000000ffff0000,e6219968813db4a9,0
63,0xB310,0xB7B0,1184,7.3546,0x00000002,0x0002,02000000ffff0000,a7b5ea72567512ae,0
64,0xB7B0,0xBA10,608,7.1626,0x00000002,0x0002,02000000ffff0000,b806ef0fccffc3ff,0
65,0xBA10,0xBD50,832,7.1787,0x00000002,0x0002,02000000ffff0000,8d74b477cfb92fda,0
66,0xBD50,0xC110,960,7.1928,0x00000002,0x0002,02000000ffff0000,e8cd9e6bb5988384,0
67,0xC110,0xC4D0,960,7.1258,0x00000002,0x0002,02000000ffff0000,89a61ff20d97a6d7,0
68,0xC4D0,0xC710,576,6.8514,0x00000002,0x0002,02000000ffff0000,a98f6c3c1651a1d2,0
69,0xC710,0xCA50,832,7.3231,0x00000002,0x0002,02000000ffff0000,28970792186bb346,0
70,0xCA50,0xCC50,512,6.9348,0x00000002,0x0002,02000000ffff0000,5c56c4f16c1e913b,0
71,0xCC50,0xD350,1792,7.5096,0x00000002,0x0002,02000000ffff0000,04cde623a420b5d9,0
72,0xD350,0xD890,1344,7.4429,0x00000002,0x0002,02000000ffff0000,f52d48bcd37bd112,0
73,0xD890,0xDB50,704,7.1673,0x00000002,0x0002,02000000ffff0000,4ba32b5a2be566d4,0
