index,start_hex,end_hex,size,entropy,first_u32_hex,first_u16_hex,header8_hex,sha1_16,zlib_header_hits
0,0x0,0x1D0,464,6.4035,0x00414D50,0x4D50,504d410005000000,6ba20e231680369c,0
1,0x1D0,0x350,384,6.5637,0x00000002,0x0002,02000000ffff0000,2e782471e5208fae,0
2,0x350,0x510,448,6.6145,0x00000002,0x0002,02000000ffff0000,42a77a0c2f944c69,0
3,0x510,0x710,512,6.9320,0x00000002,0x0002,02000000ffff0000,874f673e098dd417,0
4,0x710,0x850,320,5.9859,0x00000002,0x0002,02000000ffff0000,6d376069cfb1cf6b,0
5,0x850,0x970,288,5.8322,0x00000002,0x0002,02000000ffff0000,7b0cbed142b99ec9,0
6,0x970,0xB10,416,6.5267,0x00000002,0x0002,02000000ffff0000,807b3ff20cf31445,0
7,0xB10,0xD10,512,6.6918,0x00000002,0x0002,02000000ffff0000,79fe470f5131af2a,0
8,0xD10,0xEB0,416,6.5562,0x00000002,0x0002,02000000ffff0000,033850026afc9ced,0
9,0xEB0,0x1030,384,6.6009,0x00000002,0x0002,02000000ffff0000,8889ad6438f81ff0,0
10,0x1030,0x11F0,448,6.7556,0x00000002,0x0002,02000000ffff0000,a8f3a34c7a631008,0
11,0x11F0,0x13B0,448,6.6168,0x00000002,0x0002,02000000ffff0000,3ba567ddf53ef38b,0
12,0x13B0,0x1730,896,7.2913,0x00000002,0x0002,02000000ffff0000,b9a1b04d2c3fc2d1,0
13,0x1730,0x1930,512,6.8535,0x00000002,0x0002,02000000ffff0000,571a758a66d8e849,0
14,0x1930,0x1A70,320,6.1436,0x00000002,0x0002,02000000ffff0000,e0186d38da2fa1ab,0
15,0x1A70,0x1B50,224,5.6353,0x00000002,0x0002,02000000ffff0000,b33fed1b1787983c,0
16,0x1B50,0x1CD0,384,6.5027,0x00000002,0x0002,02000000ffff0000,37e8d6b1ef855088,0
17,0x1CD0,0x1F90,704,7.1281,0x00000002,0x0002,02000000ffff0000,3c6c9dabdcbb19a9,0
18,0x1F90,0x2250,704,7.1123,0x00000002,0x0002,02000000ffff0000,083728cd6d2d864f,0
19,0x2250,0x2570,800,7.3170,0x00000002,0x0002,02000000ffff0000,842f17f19d553b4a,0
20,0x2570,0x29D0,1120,7.5040,0x00000002,0x0002,02000000ffff0000,3e4d145add0ca40d,0
21,0x29D0,0x2C50,640,7.0536,0x00000002,0x0002,02000000ffff0000,9e9ca034ab81fea6,0
22,0x2C50,0x2ED0,640,7.1927,0x00000002,0x0002,02000000ffff0000,69eaf839b247ad77,0
23,0x2ED0,0x3050,384,6.3206,0x00000002,0x0002,02000000ffff0000,70b5b0f990221d34,0
24,0x3050,0x3130,224,5.6749,0x00000002,0x0002,02000000ffff0000,f8131cf1cd3651ef,0
25,0x3130,0x31D0,160,5.0841,0x00000002,0x0002,02000000ffff0000,cb27daff3f5e863f,0
26,0x31D0,0x3330,352,6.5392,0x00000002,0x0002,02000000ffff0000,e2f7f669173dea34,0
27,0x3330,0x34D0,416,6.4814,0x00000002,0x0002,02000000ffff0000,818810c189e97211,0
28,0x34D0,0x3690,448,6.8111,0x00000002,0x0002,02000000ffff0000,19a2cb1470c75e06,0
29,0x3690,0x3890,512,6.9997,0x00000002,0x0002,02000000ffff0000,e18754e69c57da83,0
30,0x3890,0x3B90,768,7.2682,0x00000002,0x0002,02000000ffff0000,fcaceecf7632321b,0
