index,start_hex,end_hex,size,entropy,first_u32_hex,first_u16_hex,header8_hex,sha1_16,zlib_header_hits
0,0x0,0xD0,208,4.2792,0x00414D50,0x4D50,504d410005000000,98945ce4e191e5f7,0
1,0xD0,0x170,160,3.7624,0x00000002,0x0002,02000000ffff0000,509216b9d68b8127,0
2,0x170,0x250,224,5.7671,0x00000002,0x0002,02000000ffff0000,9ee6a1e25f2a43d5,0
3,0x250,0x370,288,5.7506,0x00000002,0x0002,02000000ffff0000,e00db24689eac4ff,0
4,0x370,0x530,448,6.6495,0x00000002,0x0002,02000000ffff0000,93cfcabba643bfaf,0
5,0x530,0x710,480,6.6219,0x00000002,0x0002,02000000ffff0000,1a3239d02eb9430e,0
6,0x710,0x810,256,5.6238,0x00000002,0x0002,02000000ffff0000,a5d76d8571763871,0
7,0x810,0x8D0,192,4.9939,0x00000002,0x0002,02000000ffff0000,7562138e51fb873b,0
8,0x8D0,0x970,160,3.8159,0x00000002,0x0002,02000000ffff0000,b350781e0d41508c,0
9,0x970,0xA10,160,3.8112,0x00000002,0x0002,02000000ffff0000,968ab61c4af08564,0
10,0xA10,0xAB0,160,3.8418,0x00000002,0x0002,02000000ffff0000,f3ae3fc622c7e579,0
11,0xAB0,0xB50,160,3.8159,0x00000002,0x0002,02000000ffff0000,d02a428a466abd20,0
12,0xB50,0xC10,192,5.6140,0x00000002,0x0002,02000000ffff0000,f77efdf27a117b85,0
13,0xC10,0xD10,256,5.4624,0x00000002,0x0002,02000000ffff0000,7dec5de20c93a6f4,0
14,0xD10,0xF90,640,6.9264,0x00000002,0x0002,02000000ffff0000,86d0ebb3887dd7bc,0
15,0xF90,0x1270,736,7.1967,0x00000002,0x0002,02000000ffff0000,54d79f338ea4a0cc,0
16,0x1270,0x1370,256,5.9441,0x00000002,0x0002,02000000ffff0000,ff94fb97ec2d47af,0
17,0x1370,0x1430,192,4.8676,0x00000002,0x0002,02000000ffff0000,1bc372125e9b7915,0
18,0x1430,0x14D0,160,3.8418,0x00000002,0x0002,02000000ffff0000,65eed2b415f33cf3,0
19,0x14D0,0x1570,160,3.8418,0x00000002,0x0002,02000000ffff0000,6d3bf6e130582042,0
20,0x1570,0x1610,160,3.8112,0x00000002,0x0002,02000000ffff0000,9ff43673e3e0e111,0
21,0x1610,0x16B0,160,3.8418,0x00000002,0x0002,02000000ffff0000,dfece181b4a92d33,0
22,0x16B0,0x1770,192,5.1062,0x00000002,0x0002,02000000ffff0000,517c049d0eb78ed5,0
23,0x1770,0x1870,256,5.7934,0x00000002,0x0002,02000000ffff0000,18888a8ce7a8cca8,0
24,0x1870,0x1BF0,896,7.1733,0x00000002,0x0002,02000000ffff0000,cf07ac031ddeccb7,0
25,0x1BF0,0x1FD0,992,7.3874,0x00000002,0x0002,02000000ffff0000,dfeb41764671e0ae,0
26,0x1FD0,0x20F0,288,5.6959,0x00000002,0x0002,02000000ffff0000,bf487f8636209770,0
27,0x20F0,0x21B0,192,4.6865,0x00000002,0x0002,02000000ffff0000,d1166979aca6cdb3,0
28,0x21B0,0x2250,160,3.8418,0x00000002,0x0002,02000000ffff0000,bd74d984972b6c5f,0
29,0x2250,0x22F0,160,3.8543,0x00000002,0x0002,02000000ffff0000,d158f186a1fd40b3,0
30,0x22F0,0x2390,160,3.8246,0x00000002,0x0002,02000000ffff0000,4c70022448d106c6,0
