index,start_hex,end_hex,size,entropy,first_u32_hex,first_u16_hex,header8_hex,sha1_16,zlib_header_hits
0,0x0,0x170,368,5.7722,0x00414D50,0x4D50,504d410005000000,6242f95df6ca9072,0
1,0x170,0x5F0,1152,7.4913,0x00000002,0x0002,02000000ffff0000,561c00aaaf8152fa,0
2,0x5F0,0xA90,1184,7.5004,0x00000002,0x0002,02000000ffff0000,beb30c91389fa632,0
3,0xA90,0xF10,1152,7.4839,0x00000002,0x0002,02000000ffff0000,2b3c2df0ada06b84,0
4,0xF10,0x1070,352,6.3545,0x00000002,0x0002,02000000ffff0000,e3fa946c6fe6b083,0
5,0x1070,0x11D0,352,6.1618,0x00000002,0x0002,02000000ffff0000,3e1e0c3c3ce8f061,0
6,0x11D0,0x1310,320,6.2855,0x00000002,0x0002,02000000ffff0000,14d19d2fb1957e2b,0
7,0x1310,0x1430,288,6.0676,0x00000002,0x0002,02000000ffff0000,ee413894332524e7,0
8,0x1430,0x1570,320,6.3347,0x00000002,0x0002,02000000ffff0000,b053cbd7cfe18c9a,0
9,0x1570,0x1690,288,6.0844,0x00000002,0x0002,02000000ffff0000,0c47b77ce8ea7fbe,0
10,0x1690,0x19F0,864,7.3340,0x00000002,0x0002,02000000ffff0000,daf028ae71e857f7,0
11,0x19F0,0x1E90,1184,7.5124,0x00000002,0x0002,02000000ffff0000,42b38b7f979e6c43,0
12,0x1E90,0x2190,768,7.2271,0x00000002,0x0002,02000000ffff0000,814dc828a3acc689,0
13,0x2190,0x25F0,1120,7.5215,0x00000002,0x0002,02000000ffff0000,f1322005ed4cace8,0
14,0x25F0,0x2750,352,6.2509,0x00000002,0x0002,02000000ffff0000,ae832ae4b08d32bd,0
15,0x2750,0x2870,288,6.0381,0x00000002,0x0002,02000000ffff0000,b24df760cf47dbc3,0
16,0x2870,0x2970,256,5.4822,0x00000002,0x0002,02000000ffff0000,b697a99b2d7c892f,0
17,0x2970,0x2A70,256,5.8926,0x00000002,0x0002,02000000ffff0000,de272265d7edea41,0
18,0x2A70,0x2B70,256,5.9020,0x00000002,0x0002,02000000ffff0000,d40e991b9282a5f4,0
19,0x2B70,0x2C70,256,5.7316,0x00000002,0x0002,02000000ffff0000,d0feaad29bcbad31,0
20,0x2C70,0x2F50,736,7.1282,0x00000002,0x0002,02000000ffff0000,74fe1307d556aff4,0
