index,start_hex,end_hex,size,entropy,first_u32_hex,first_u16_hex,header8_hex,sha1_16,zlib_header_hits
0,0x0,0x190,400,6.2480,0x00414D50,0x4D50,504d410005000000,57d5ced515d5e621,0
1,0x190,0x570,992,7.3607,0x00000002,0x0002,02000000ffff0000,244d180c647ddad2,0
2,0x570,0xB50,1504,7.6167,0x00000002,0x0002,02000000ffff0000,6907386cf22273b9,0
3,0xB50,0xEB0,864,7.1436,0x00000002,0x0002,02000000ffff0000,f116833316f91aab,0
4,0xEB0,0x1070,448,6.5362,0x00000002,0x0002,02000000ffff0000,049f8a7bba220723,0
5,0x1070,0x11B0,320,6.4272,0x00000002,0x0002,02000000ffff0000,808ff3321400bc88,0
6,0x11B0,0x13D0,544,6.8804,0x00000002,0x0002,02000000ffff0000,7e04857a5bb28c8f,0
7,0x13D0,0x1510,320,6.3875,0x00000002,0x0002,02000000ffff0000,24c90eece58a2918,0
8,0x1510,0x1630,288,5.7537,0x00000002,0x0002,02000000ffff0000,194cc57ade5c00f5,0
9,0x1630,0x1730,256,5.4894,0x00000002,0x0002,02000000ffff0000,0b2fe78665ffe5a2,0
10,0x1730,0x18B0,384,6.4397,0x00000002,0x0002,02000000ffff0000,56902c4a07f4d192,0
11,0x18B0,0x1AF0,576,6.7626,0x00000002,0x0002,02000000ffff0000,c33cfaf5673660f6,0
12,0x1AF0,0x2070,1408,7.5438,0x00000002,0x0002,02000000ffff0000,018cb1db795044e4,0
13,0x2070,0x2590,1312,7.4480,0x00000002,0x0002,02000000ffff0000,7e4c25114aaa0034,0
14,0x2590,0x2730,416,6.5251,0x00000002,0x0002,02000000ffff0000,fca2f8b9ae37e931,0
15,0x2730,0x2870,320,6.3182,0x00000002,0x0002,02000000ffff0000,28324bddd54b3adf,0
16,0x2870,0x2AB0,576,6.9565,0x00000002,0x0002,02000000ffff0000,c55f52292f2fe445,0
17,0x2AB0,0x2D30,640,6.9993,0x00000002,0x0002,02000000ffff0000,b442ecd608f373bb,0
