index,start_hex,end_hex,size,entropy,first_u32_hex,first_u16_hex,header8_hex,sha1_16,zlib_header_hits
0,0x0,0x190,400,6.2419,0x00414D50,0x4D50,504d410005000000,4d63cd433bafe55e,0
1,0x190,0x310,384,6.4357,0x00000002,0x0002,02000000ffff0000,012f45b51c8a0e43,0
2,0x310,0x470,352,6.2637,0x00000002,0x0002,02000000ffff0000,4f77f39f83bb1047,0
3,0x470,0x5D0,352,6.6216,0x00000002,0x0002,02000000ffff0000,b2b8610b65ceddc8,0
4,0x5D0,0x830,608,6.9250,0x00000002,0x0002,02000000ffff0000,8439c0a9526e6235,0
5,0x830,0x910,224,5.9171,0x00000002,0x0002,02000000ffff0000,ef0af51d01438c93,0
6,0x910,0xA30,288,6.1151,0x00000002,0x0002,02000000ffff0000,8e0d28e5c37b2777,0
7,0xA30,0xB90,352,6.1542,0x00000002,0x0002,02000000ffff0000,2f7e2e929902c814,0
8,0xB90,0xCB0,288,5.6666,0x00000002,0x0002,02000000ffff0000,2875a43ba4c1c302,0
9,0xCB0,0xDB0,256,5.9704,0x00000002,0x0002,02000000ffff0000,6f2e027e5cd2b39a,0
10,0xDB0,0xF10,352,6.4610,0x00000002,0x0002,02000000ffff0000,379c3561a92edda6,0
11,0xF10,0x1090,384,6.7319,0x00000002,0x0002,02000000ffff0000,716b23b1560b21d2,0
12,0x1090,0x1330,672,6.9996,0x00000002,0x0002,02000000ffff0000,b76da972d8dea4e7,0
13,0x1330,0x15F0,704,7.0506,0x00000002,0x0002,02000000ffff0000,5db4594ff8d9673e,0
14,0x15F0,0x18B0,704,7.2226,0x00000002,0x0002,02000000ffff0000,9cf6603abc3aa492,0
15,0x18B0,0x1C10,864,7.2028,0x00000002,0x0002,02000000ffff0000,3c6d6163528c054e,0
16,0x1C10,0x1D70,352,6.4040,0x00000002,0x0002,02000000ffff0000,a9283ab492b5a337,0
17,0x1D70,0x1F30,448,6.4909,0x00000002,0x0002,02000000ffff0000,4f94e35b79b4070b,0
18,0x1F30,0x2070,320,6.3819,0x00000002,0x0002,02000000ffff0000,31a6529518147412,0
19,0x2070,0x2210,416,6.5069,0x00000002,0x0002,02000000ffff0000,3167a4756449368f,0
20,0x2210,0x2350,320,6.3631,0x00000002,0x0002,02000000ffff0000,556851cac6b6bd8a,0
21,0x2350,0x24D0,384,6.6487,0x00000002,0x0002,02000000ffff0000,b43fe07bb1108857,0
22,0x24D0,0x2770,672,7.0569,0x00000002,0x0002,02000000ffff0000,8960d7b93c34c85f,0
23,0x2770,0x2D30,1472,7.5681,0x00000002,0x0002,02000000ffff0000,5aea5ace345c054e,0
24,0x2D30,0x3230,1280,7.5317,0x00000002,0x0002,02000000ffff0000,23ffaf0ea3e959d6,2
25,0x3230,0x3470,576,7.1156,0x00000002,0x0002,02000000ffff0000,bd261a06e201fb38,0
26,0x3470,0x35D0,352,6.4480,0x00000002,0x0002,02000000ffff0000,d399ea0fc7174197,0
27,0x35D0,0x3730,352,6.2321,0x00000002,0x0002,02000000ffff0000,d8392477fefa8e71,0
28,0x3730,0x38F0,448,6.7336,0x00000002,0x0002,02000000ffff0000,55c8e2b28676ba0b,0
29,0x38F0,0x3A90,416,6.3888,0x00000002,0x0002,02000000ffff0000,1906a39950fef9c1,0
30,0x3A90,0x3C30,416,6.6806,0x00000002,0x0002,02000000ffff0000,3bf34cee5a1ba03e,0
31,0x3C30,0x3DF0,448,6.6779,0x00000002,0x0002,02000000ffff0000,8a05209fafc32803,0
32,0x3DF0,0x4250,1120,7.5013,0x00000002,0x0002,02000000ffff0000,23b3eb69be9a43f4,0
33,0x4250,0x4BF0,2464,7.5905,0x00000002,0x0002,02000000ffff0000,39907b63a6045774,0
34,0x4BF0,0x4ED0,736,7.1942,0x00000002,0x0002,02000000ffff0000,314c8bcce09fb50c,0
35,0x4ED0,0x5250,896,7.4052,0x00000002,0x0002,02000000ffff0000,031d9cbd4506da1f,0
36,0x5250,0x59B0,1888,7.5601,0x00000002,0x0002,02000000ffff0000,db56afa2a1ff3f80,2
37,0x59B0,0x5BD0,544,6.8254,0x00000002,0x0002,02000000ffff0000,a34013ea1797977a,0
38,0x5BD0,0x5D50,384,6.2015,0x00000002,0x0002,02000000ffff0000,311e1c51f832748c,0
39,0x5D50,0x5EB0,352,6.1360,0x00000002,0x0002,02000000ffff0000,369b1386dd1ca81c,0
40,0x5EB0,0x60F0,576,7.0327,0x00000002,0x0002,02000000ffff0000,460b3dfaa0978c99,0
41,0x60F0,0x63B0,704,7.1223,0x00000002,0x0002,02000000ffff0000,fa0d279b07eaf0e0,0
42,0x63B0,0x6730,896,7.2534,0x00000002,0x0002,02000000ffff0000,73f649d9555fbed3,0
43,0x6730,0x6C50,1312,7.3539,0x00000002,0x0002,02000000ffff0000,b0beb72a95c193f1,0
44,0x6C50,0x70B0,1120,7.4038,0x00000002,0x0002,02000000ffff0000,f31e30c67615afe5,0
45,0x70B0,0x7590,1248,7.4453,0x00000002,0x0002,02000000ffff0000,7d627d0d2b24c482,0
46,0x7590,0x81D0,3136,7.5316,0x00000002,0x0002,02000000ffff0000,502db15f49dd690f,2
47,0x81D0,0x8D10,2880,7.5681,0x00000002,0x0002,02000000ffff0000,f17cf53681ca6e8b,2
48,0x8D10,0x8EB0,416,6.5824,0x00000002,0x0002,02000000ffff0000,3324d72169090555,0
49,0x8EB0,0x9070,448,6.6514,0x00000002,0x0002,02000000ffff0000,25c47e9c015efb04,0
50,0x9070,0x92D0,608,6.9807,0x00000002,0x0002,02000000ffff0000,2d9829652f596250,0
51,0x92D0,0x9790,1216,7.4380,0x00000002,0x0002,02000000ffff0000,474d4a6895b033f7,0
52,0x9790,0x9AF0,864,7.2568,0x00000002,0x0002,02000000ffff0000,6fd463baee41bc7c,0
53,0x9AF0,0x9D30,576,6.9707,0x00000002,0x0002,02000000ffff0000,1d38ce8f5b89de4e,0
54,0x9D30,0xA130,1024,7.3459,0x00000002,0x0002,02000000ffff0000,f7b996101828a941,0
55,0xA130,0xA8B0,1920,7.6252,0x00000002,0x0002,02000000ffff0000,fe2a04e5e536fadc,0
56,0xA8B0,0xAF30,1664,7.6188,0x00000002,0x0002,02000000ffff0000,3182b8a3f8ae0cc5,0
57,0xAF30,0xB450,1312,7.5067,0x00000002,0x0002,02000000ffff0000,be51c0d8019e882e,0
58,0xB450,0xBBD0,1920,7.5295,0x00000002,0x0002,02000000ffff0000,01e055744537b822,0
59,0xBBD0,0xBE70,672,6.9549,0x00000002,0x0002,02000000ffff0000,c3a255459a867555,0
60,0xBE70,0xBFD0,352,6.3856,0x00000002,0x0002,02000000ffff0000,af7871494c61e9af,0
61,0xBFD0,0xC430,1120,7.4437,0x00000002,0x0002,02000000ffff0000,abba2ee13b58814b,0
62,0xC430,0xC790,864,7.2844,0x00000002,0x0002,02000000ffff0000,4d9e7fbfbf177952,0
63,0xC790,0xC8B0,288,5.7871,0x00000002,0x0002,02000000ffff0000,67914c7389836306,0
64,0xC8B0,0xCF90,1760,7.6146,0x00000002,0x0002,02000000ffff0000,cb2f83a395a0e77c,0
65,0xCF90,0xD450,1216,7.5252,0x00000002,0x0002,02000000ffff0000,f5d9abc05e6ef67e,0
66,0xD450,0xD990,1344,7.6063,0x00000002,0x0002,02000000ffff0000,cc63d6d6b5520489,0
67,0xD990,0xDD70,992,7.3061,0x00000002,0x0002,02000000ffff0000,2a6f83adae1a0c89,0
68,0xDD70,0xE610,2208,7.4749,0x00000002,0x0002,02000000ffff0000,514caf96153a11a6,0
69,0xE610,0xE970,864,7.3273,0x00000002,0x0002,02000000ffff0000,2e9ba03b03d7e4de,0
