index,start_hex,end_hex,size,entropy,first_u32_hex,first_u16_hex,header8_hex,sha1_16,zlib_header_hits
0,0x0,0x3B0,944,7.1748,0x00414D50,0x4D50,504d410005000000,4c7615142191d88b,0
1,0x3B0,0x770,960,7.3775,0x00000002,0x0002,02000000ffff0000,0669d5e323ef557e,2
2,0x770,0xA70,768,7.1923,0x00000002,0x0002,02000000ffff0000,c6d1cf74644344a9,0
3,0xA70,0xE90,1056,7.3920,0x00000002,0x0002,02000000ffff0000,ad9f68be57ee5d30,0
4,0xE90,0x13D0,1344,7.5421,0x00000002,0x0002,02000000ffff0000,6e12085b0d77c834,0
5,0x13D0,0x1770,928,7.3792,0x00000002,0x0002,02000000ffff0000,669a1de1f62e6497,0
6,0x1770,0x1A70,768,7.2439,0x00000002,0x0002,02000000ffff0000,c2b5628a918f04d5,0
7,0x1A70,0x1E30,960,7.3256,0x00000002,0x0002,02000000ffff0000,8c7edf43d3405f6c,0
8,0x1E30,0x20F0,704,7.2168,0x00000002,0x0002,02000000ffff0000,9e25890e48d200f9,0
9,0x20F0,0x2510,1056,7.3355,0x00000002,0x0002,02000000ffff0000,2551b8dafab30313,0
10,0x2510,0x27D0,704,7.1473,0x00000002,0x0002,02000000ffff0000,40fbc7925edbf323,0
11,0x27D0,0x2AB0,736,7.1204,0x00000002,0x0002,02000000ffff0000,c9d39e2eab4d4e1f,0
12,0x2AB0,0x2DB0,768,7.2656,0x00000002,0x0002,02000000ffff0000,7b96fb81f1f41740,0
13,0x2DB0,0x3270,1216,7.4972,0x00000002,0x0002,02000000ffff0000,60524691e9c9eb54,0
14,0x3270,0x3910,1696,7.6313,0x00000002,0x0002,02000000ffff0000,d8df7fdc4540d07e,0
15,0x3910,0x3DF0,1248,7.5104,0x00000002,0x0002,02000000ffff0000,262b94e722bd54a2,0
16,0x3DF0,0x4110,800,7.3526,0x00000002,0x0002,02000000ffff0000,dd5fae3e4160dadf,0
17,0x4110,0x4450,832,7.2052,0x00000002,0x0002,02000000ffff0000,1cfc0fa7defa6b3a,0
18,0x4450,0x4730,736,7.1127,0x00000002,0x0002,02000000ffff0000,176c69208e766975,0
19,0x4730,0x4B50,1056,7.3823,0x00000002,0x0002,02000000ffff0000,0c134863cb561280,0
20,0x4B50,0x4E50,768,7.1513,0x00000002,0x0002,02000000ffff0000,f42e9533edd8a162,0
21,0x4E50,0x50B0,608,7.2049,0x00000002,0x0002,02000000ffff0000,72c2868a3bee2a0c,0
22,0x50B0,0x5270,448,6.6995,0x00000002,0x0002,02000000ffff0000,efe29308784aa2ae,0
23,0x5270,0x5810,1440,7.5270,0x00000002,0x0002,02000000ffff0000,744c2c02a9884cef,0
24,0x5810,0x5ED0,1728,7.5963,0x00000002,0x0002,02000000ffff0000,5e32fcf7581a678d,2
25,0x5ED0,0x63F0,1312,7.6091,0x00000002,0x0002,02000000ffff0000,3518dfbcb80d2e77,0
26,0x63F0,0x6830,1088,7.4810,0x00000002,0x0002,02000000ffff0000,f0e337ff845c039b,0
27,0x6830,0x6B30,768,7.3000,0x00000002,0x0002,02000000ffff0000,77359841f21b5af1,0
28,0x6B30,0x6E30,768,7.0753,0x00000002,0x0002,02000000ffff0000,5ed6ea00bba38bb4,0
29,0x6E30,0x70D0,672,7.1275,0x00000002,0x0002,02000000ffff0000,ff3bbb1908988df4,0
30,0x70D0,0x7390,704,7.1383,0x00000002,0x0002,02000000ffff0000,6e0ce6a25fbf06e5,0
31,0x7390,0x7610,640,7.1720,0x00000002,0x0002,02000000ffff0000,45599c56bcbf967d,0
32,0x7610,0x7BF0,1504,7.5364,0x00000002,0x0002,02000000ffff0000,5c98afab02af45dc,0
33,0x7BF0,0x80D0,1248,7.5387,0x00000002,0x0002,02000000ffff0000,f2eed9c98d7296af,0
34,0x80D0,0x8810,1856,7.5856,0x00000002,0x0002,02000000ffff0000,e4589e9c79b1e7f1,0
35,0x8810,0x8FF0,2016,7.6193,0x00000002,0x0002,02000000ffff0000,955d448e9b0923de,0
36,0x8FF0,0x97B0,1984,7.6573,0x00000002,0x0002,02000000ffff0000,25719e589c23e19d,0
37,0x97B0,0x99D0,544,6.8968,0x00000002,0x0002,02000000ffff0000,9ac9d4a5269cbcd5,0
38,0x99D0,0x9C70,672,7.0026,0x00000002,0x0002,02000000ffff0000,732eaad5e65d339c,0
39,0x9C70,0x9EF0,640,7.1765,0x00000002,0x0002,02000000ffff0000,39aadfa980e8afc3,0
40,0x9EF0,0xA0F0,512,6.8260,0x00000002,0x0002,02000000ffff0000,e77187b6564d5759,0
41,0xA0F0,0xA310,544,6.9993,0x00000002,0x0002,02000000ffff0000,04b3788e50383019,0
42,0xA310,0xA8D0,1472,7.5807,0x00000002,0x0002,02000000ffff0000,df180ac22f6d1c89,0
43,0xA8D0,0xAED0,1536,7.5676,0x00000002,0x0002,02000000ffff0000,207a7a1801d485c8,0
44,0xAED0,0xB770,2208,7.6456,0x00000002,0x0002,02000000ffff0000,02815997dc755559,0
45,0xB770,0xC1D0,2656,7.6617,0x00000002,0x0002,02000000ffff0000,510a967cac1c9efe,0
46,0xC1D0,0xCB70,2464,7.6824,0x00000002,0x0002,02000000ffff0000,f249ccfa27258dce,0
