index,start_hex,end_hex,size,entropy,first_u32_hex,first_u16_hex,header8_hex,sha1_16,zlib_header_hits
0,0x0,0x130,304,5.6647,0x00414D50,0x4D50,504d410005000000,f5b1c0084cd1474d,0
1,0x130,0x2B0,384,6.4715,0x00000002,0x0002,02000000ffff0000,74161091475fadc3,0
2,0x2B0,0x4D0,544,6.7407,0x00000002,0x0002,02000000ffff0000,0e729341cabae7fb,0
3,0x4D0,0x670,416,6.7676,0x00000002,0x0002,02000000ffff0000,23c2ec9d544610c9,0
4,0x670,0x790,288,6.3022,0x00000002,0x0002,02000000ffff0000,b8b6549ab956f7ea,0
5,0x790,0x890,256,5.6611,0x00000002,0x0002,02000000ffff0000,99d5dfc18c4d0632,0
6,0x890,0xBD0,832,7.2197,0x00000002,0x0002,02000000ffff0000,94c4f442a7341f83,0
7,0xBD0,0xD90,448,6.6461,0x00000002,0x0002,02000000ffff0000,300308635e06c788,0
8,0xD90,0xFF0,608,7.1162,0x00000002,0x0002,02000000ffff0000,32b21d595b6ecb48,0
9,0xFF0,0x1130,320,6.0317,0x00000002,0x0002,02000000ffff0000,5c2db11b9c867717,0
10,0x1130,0x1230,256,5.9843,0x00000002,0x0002,02000000ffff0000,e2845c67c47c2089,0
11,0x1230,0x1490,608,6.9587,0x00000002,0x0002,02000000ffff0000,531fc06a1548f86f,0
12,0x1490,0x16B0,544,7.0553,0x00000002,0x0002,02000000ffff0000,fdb0779140a9bd51,0
13,0x16B0,0x1850,416,6.7690,0x00000002,0x0002,02000000ffff0000,1130ad5d40c34f04,0
14,0x1850,0x19D0,384,6.2820,0x00000002,0x0002,02000000ffff0000,254968d3e270c58a,0
15,0x19D0,0x1BD0,512,6.7790,0x00000002,0x0002,02000000ffff0000,3776a98a1df1f420,0
16,0x1BD0,0x1FB0,992,7.4181,0x00000002,0x0002,02000000ffff0000,481915c9bcb94db9,0
17,0x1FB0,0x2370,960,7.4055,0x00000002,0x0002,02000000ffff0000,f104a8618de797ec,0
18,0x2370,0x2670,768,7.1074,0x00000002,0x0002,02000000ffff0000,623edfbb35647402,0
19,0x2670,0x2790,288,6.0630,0x00000002,0x0002,02000000ffff0000,6576d815b4e134dd,0
20,0x2790,0x28D0,320,6.0747,0x00000002,0x0002,02000000ffff0000,74d75a9ec0780186,0
21,0x28D0,0x2B70,672,7.0518,0x00000002,0x0002,02000000ffff0000,ef1f0181d8fe48fb,0
22,0x2B70,0x2DF0,640,6.8784,0x00000002,0x0002,02000000ffff0000,6b8b0acf4021ae5e,0
23,0x2DF0,0x2FF0,512,6.9511,0x00000002,0x0002,02000000ffff0000,b4cc31b65c5efc3f,0
24,0x2FF0,0x3310,800,7.3002,0x00000002,0x0002,02000000ffff0000,a6fa78a9bc0b6174,0
25,0x3310,0x3770,1120,7.4223,0x00000002,0x0002,02000000ffff0000,1e1cf30d07c5442a,0
