index,start_hex,end_hex,size,entropy,first_u32_hex,first_u16_hex,header8_hex,sha1_16,zlib_header_hits
0,0x0,0xD0,208,4.4169,0x00414D50,0x4D50,504d410005000000,e4f8ca090d4f3139,0
1,0xD0,0x170,160,4.3450,0x00000002,0x0002,02000000ffff0000,1e3b127c5689dc5a,0
2,0x170,0x290,288,5.9738,0x00000002,0x0002,02000000ffff0000,52320374cb6e193b,0
3,0x290,0x630,928,7.2644,0x00000002,0x0002,02000000ffff0000,942189db913b21ba,0
4,0x630,0xF50,2336,7.7077,0x00000002,0x0002,02000000ffff0000,415fb42cf68f9065,0
5,0xF50,0x14F0,1440,7.5787,0x00000002,0x0002,02000000ffff0000,01ba933ea60197c6,0
6,0x14F0,0x1D30,2112,7.6513,0x00000002,0x0002,02000000ffff0000,8b38423c58937c50,0
7,0x1D30,0x2250,1312,7.5514,0x00000002,0x0002,02000000ffff0000,1dd848d92b9d388f,0
8,0x2250,0x2510,704,7.2896,0x00000002,0x0002,02000000ffff0000,0671a67cfe5c52e2,0
9,0x2510,0x26B0,416,6.5762,0x00000002,0x0002,02000000ffff0000,97e545fce89b3489,0
10,0x26B0,0x2750,160,5.0294,0x00000002,0x0002,02000000ffff0000,62527c27c9a19236,0
11,0x2750,0x28F0,416,6.6512,0x00000002,0x0002,02000000ffff0000,215680a2f9a2a55f,0
12,0x28F0,0x2A70,384,6.2562,0x00000002,0x0002,02000000ffff0000,d9ea5ab8d1c07791,0
13,0x2A70,0x3290,2080,7.6820,0x00000002,0x0002,02000000ffff0000,9f8a0ee06551bdb5,0
14,0x3290,0x3DB0,2848,7.6656,0x00000002,0x0002,02000000ffff0000,a7ac452726f5e588,0
15,0x3DB0,0x4910,2912,7.6817,0x00000002,0x0002,02000000ffff0000,25f7e64e50d9e277,2
16,0x4910,0x5510,3072,7.6772,0x00000002,0x0002,02000000ffff0000,8876322d75273d35,0
17,0x5510,0x5FB0,2720,7.6614,0x00000002,0x0002,02000000ffff0000,4597a4f547a68df8,0
18,0x5FB0,0x6790,2016,7.6196,0x00000002,0x0002,02000000ffff0000,a63bdef3e45c10c8,0
19,0x6790,0x6970,480,6.7568,0x00000002,0x0002,02000000ffff0000,a0e93c9e1bf5c401,0
20,0x6970,0x6A10,160,4.7881,0x00000002,0x0002,02000000ffff0000,1a41f86b0d01cec6,0
21,0x6A10,0x6E30,1056,7.3609,0x00000002,0x0002,02000000ffff0000,06702fc544299d03,0
22,0x6E30,0x7310,1248,7.6060,0x00000002,0x0002,02000000ffff0000,5ecbbd3f7e7068e2,0
23,0x7310,0x7C50,2368,7.6317,0x00000002,0x0002,02000000ffff0000,19dd2c3e9ca0ea9e,2
24,0x7C50,0x8770,2848,7.6407,0x00000002,0x0002,02000000ffff0000,d03accd389f53bd2,0
25,0x8770,0x9190,2592,7.6650,0x00000002,0x0002,02000000ffff0000,9a75c8cd5bcccb9e,0
26,0x9190,0x9D50,3008,7.7205,0x00000002,0x0002,02000000ffff0000,1bfda299c6770134,0
27,0x9D50,0xA3D0,1664,7.6199,0x00000002,0x0002,02000000ffff0000,13cd7354561c3fb1,0
28,0xA3D0,0xAA50,1664,7.5884,0x00000002,0x0002,02000000ffff0000,7030a133d998bd69,0
29,0xAA50,0xAD30,736,7.3160,0x00000002,0x0002,02000000ffff0000,da7e9b45fe7b37ab,0
30,0xAD30,0xADD0,160,4.9655,0x00000002,0x0002,02000000ffff0000,edd5fc93f9721f1d,0
31,0xADD0,0xB110,832,7.1223,0x00000002,0x0002,02000000ffff0000,2779a2491b6fce90,0
32,0xB110,0xBC90,2944,7.6952,0x00000002,0x0002,02000000ffff0000,0e9d4aa6a2c160e2,0
33,0xBC90,0xC1D0,1344,7.3801,0x00000002,0x0002,02000000ffff0000,aa6af3c5f85f5c4e,2
34,0xC1D0,0xC710,1344,7.4895,0x00000002,0x0002,02000000ffff0000,51c3c45d63ef6283,0
35,0xC710,0xCE90,1920,7.6627,0x00000002,0x0002,02000000ffff0000,213e7dba159cabf0,0
