index,start_hex,end_hex,size,entropy,first_u32_hex,first_u16_hex,header8_hex,sha1_16,zlib_header_hits
0,0x0,0x580,1408,4.7249,0x00414D50,0x4D50,504d410005000000,d0317a90e0044e36,3
1,0x580,0x770,496,6.7725,0x00000002,0x0002,02000000ffff0000,e1c22614bd90a2b7,0
2,0x770,0x970,512,6.8854,0x00000003,0x0003,03000000ffff0000,11051846b4ddb588,0
3,0x970,0xAF0,384,6.5258,0x00000003,0x0003,03000000ffff0000,7fc531016073bc2b,0
4,0xAF0,0xCC0,464,6.9364,0x00000003,0x0003,03000000ffff0000,f8b0d8ffc64f711a,0
5,0xCC0,0xEE0,544,7.0371,0x00000003,0x0003,03000000ffff0000,8fd5240ea817249e,0
6,0xEE0,0x1130,592,7.1326,0x00000003,0x0003,03000000ffff0000,afe45c3061b68bbf,0
7,0x1130,0x13B0,640,7.1818,0x00000003,0x0003,03000000ffff0000,0e4b3c1ebd31c1b0,0
8,0x13B0,0x1570,448,6.5742,0x00000003,0x0003,03000000ffff0000,705dd7a217143286,0
9,0x1570,0x1610,160,4.8248,0x00000003,0x0003,03000000ffff0000,de47550b85089fe4,0
10,0x1610,0x1770,352,6.4069,0x00000002,0x0002,02000000ffff0000,1378ec07c319fa94,0
11,0x1770,0x19C0,592,7.1516,0x00000003,0x0003,03000000ffff0000,027640acf82c7ca1,0
12,0x19C0,0x1BF0,560,7.2013,0x00000003,0x0003,03000000ffff0000,a35d9e45f99b0883,0
13,0x1BF0,0x1DF0,512,6.8013,0x00000003,0x0003,03000000ffff0000,14acf8e4c87e7836,0
14,0x1DF0,0x1FA0,432,6.8626,0x00000003,0x0003,03000000ffff0000,6c4c574c9f06d9fe,0
15,0x1FA0,0x2160,448,6.8027,0x00000003,0x0003,03000000ffff0000,a6bffaa234259204,0
16,0x2160,0x2320,448,6.7271,0x00000003,0x0003,03000000ffff0000,847e6296a497854d,0
17,0x2320,0x2510,496,7.0276,0x00000003,0x0003,03000000ffff0000,f2a1a10759648d16,0
18,0x2510,0x26A0,400,6.6512,0x00000003,0x0003,03000000ffff0000,af1285f7d84d27cf,0
19,0x26A0,0x2760,192,5.0148,0x00000003,0x0003,03000000ffff0000,44a925e5613e2506,0
20,0x2760,0x2930,464,6.8521,0x00000002,0x0002,02000000ffff0000,d9742c7418636149,0
21,0x2930,0x2B40,528,7.0895,0x00000003,0x0003,03000000ffff0000,4870b78ed59b8158,0
22,0x2B40,0x2DC0,640,7.3576,0x00000003,0x0003,03000000ffff0000,f722fca93c0a6f95,0
23,0x2DC0,0x2FA0,480,6.9342,0x00000003,0x0003,03000000ffff0000,522846df3cc52e2f,0
24,0x2FA0,0x3030,144,5.6207,0x00000003,0x0003,03000000ffff0000,293b37f4750ddb49,0
25,0x3030,0x31E0,432,6.8189,0x00000001,0x0001,0100000001000000,d6720631f77b6009,0
