index,start_hex,end_hex,size,entropy,first_u32_hex,first_u16_hex,header8_hex,sha1_16,zlib_header_hits
0,0x0,0x650,1616,7.4849,0x00414D50,0x4D50,504d410005000000,3313cf1f33417ea8,0
1,0x650,0xBD0,1408,7.5817,0x00000002,0x0002,02000000ffff0000,0ea8c2d67008ab53,0
2,0xBD0,0x12B0,1760,7.5942,0x00000002,0x0002,02000000ffff0000,8170892bbfbe5708,0
3,0x12B0,0x1650,928,7.4483,0x00000002,0x0002,02000000ffff0000,5d29c5b33be7bb3a,0
4,0x1650,0x1930,736,7.2698,0x00000002,0x0002,02000000ffff0000,c1109c449fcd444a,0
5,0x1930,0x1C70,832,7.2602,0x00000002,0x0002,02000000ffff0000,d2e23dc686ba58c2,0
6,0x1C70,0x2010,928,7.3510,0x00000002,0x0002,02000000ffff0000,cb9e212b6809bd76,0
7,0x2010,0x2230,544,7.0543,0x00000002,0x0002,02000000ffff0000,e0f3f295949b35db,0
8,0x2230,0x2450,544,6.7988,0x00000002,0x0002,02000000ffff0000,19131206e28aa584,0
9,0x2450,0x2750,768,7.2015,0x00000002,0x0002,02000000ffff0000,a416873e8245ed72,0
10,0x2750,0x2BD0,1152,7.5904,0x00000002,0x0002,02000000ffff0000,250c511c985aabe6,0
11,0x2BD0,0x3050,1152,7.5030,0x00000002,0x0002,02000000ffff0000,37b9f0629c9413e2,0
12,0x3050,0x34B0,1120,7.4205,0x00000002,0x0002,02000000ffff0000,73d972de6534acb2,0
13,0x34B0,0x37F0,832,7.2929,0x00000002,0x0002,02000000ffff0000,d542fbf5c1ab9149,0
14,0x37F0,0x3AD0,736,7.1796,0x00000002,0x0002,02000000ffff0000,9c556b7b1eb5a820,0
15,0x3AD0,0x4170,1696,7.6810,0x00000002,0x0002,02000000ffff0000,57d8214dc1bdef70,0
16,0x4170,0x45D0,1120,7.4893,0x00000002,0x0002,02000000ffff0000,6fb6848d4a4b1f47,0
17,0x45D0,0x49D0,1024,7.5023,0x00000002,0x0002,02000000ffff0000,d2835111ccb0eeb7,0
18,0x49D0,0x4F10,1344,7.5778,0x00000002,0x0002,02000000ffff0000,d7eec7e6cacf46d6,0
19,0x4F10,0x52D0,960,7.3683,0x00000002,0x0002,02000000ffff0000,24c2b1dcb4996441,0
20,0x52D0,0x56D0,1024,7.4260,0x00000002,0x0002,02000000ffff0000,a23acbea796bd008,0
21,0x56D0,0x5970,672,7.1558,0x00000002,0x0002,02000000ffff0000,81506c9ea5b7b450,0
22,0x5970,0x5C50,736,7.1558,0x00000002,0x0002,02000000ffff0000,fbcf405fa355ea87,0
23,0x5C50,0x6010,960,7.4989,0x00000002,0x0002,02000000ffff0000,b5c2024a2d716079,2
24,0x6010,0x6770,1888,7.6328,0x00000002,0x0002,02000000ffff0000,bab7e19a4402698e,0
25,0x6770,0x6C30,1216,7.4443,0x00000002,0x0002,02000000ffff0000,bf1ea9bcd7b51565,0
26,0x6C30,0x7070,1088,7.4588,0x00000002,0x0002,02000000ffff0000,ecd11b81f948173c,0
27,0x7070,0x7690,1568,7.6336,0x00000002,0x0002,02000000ffff0000,07d03f96bd04f4d4,0
28,0x7690,0x7B90,1280,7.5245,0x00000002,0x0002,02000000ffff0000,6da13ec1963c172f,2
29,0x7B90,0x7F30,928,7.4138,0x00000002,0x0002,02000000ffff0000,0c5438f9e6f0468f,0
30,0x7F30,0x8590,1632,7.6486,0x00000002,0x0002,02000000ffff0000,8b2771cd2e0d08ca,0
31,0x8590,0x8AF0,1376,7.5358,0x00000002,0x0002,02000000ffff0000,b58701d22c57b754,0
32,0x8AF0,0x90B0,1472,7.5817,0x00000002,0x0002,02000000ffff0000,d81a3a9ba3f06f3f,2
33,0x90B0,0x95F0,1344,7.5121,0x00000002,0x0002,02000000ffff0000,d4babac635b70763,0
34,0x95F0,0x97D0,480,6.9788,0x00000002,0x0002,02000000ffff0000,084eaccc768e13b0,0
35,0x97D0,0x9BF0,1056,7.4861,0x00000002,0x0002,02000000ffff0000,d7022ca9898035b8,0
36,0x9BF0,0xA2D0,1760,7.6552,0x00000002,0x0002,02000000ffff0000,f8c6a30019929450,0
37,0xA2D0,0xA910,1600,7.6293,0x00000002,0x0002,02000000ffff0000,3e7d70ac47ccad09,0
38,0xA910,0xAC90,896,7.2651,0x00000002,0x0002,02000000ffff0000,ed1dee1198d6b5e8,0
39,0xAC90,0xB130,1184,7.4364,0x00000002,0x0002,02000000ffff0000,b8db965d56b1f579,0
40,0xB130,0xB890,1888,7.7240,0x00000002,0x0002,02000000ffff0000,545be36732351151,2
41,0xB890,0xBF90,1792,7.6330,0x00000002,0x0002,02000000ffff0000,d187879e0fc919eb,0
42,0xBF90,0xC570,1504,7.6080,0x00000002,0x0002,02000000ffff0000,a3f59e20d4724810,2
43,0xC570,0xCB70,1536,7.5862,0x00000002,0x0002,02000000ffff0000,1532da22ec276f29,2
44,0xCB70,0xCF70,1024,7.4003,0x00000002,0x0002,02000000ffff0000,fad4615becbba53b,0
45,0xCF70,0xD5F0,1664,7.6267,0x00000002,0x0002,02000000ffff0000,721d0ea8b407a1c5,0
46,0xD5F0,0xDA10,1056,7.4513,0x00000002,0x0002,02000000ffff0000,f0223854dce7983a,0
47,0xDA10,0xDC10,512,6.8529,0x00000002,0x0002,02000000ffff0000,cfdbefcbea37e247,0
48,0xDC10,0xDE70,608,7.1244,0x00000002,0x0002,02000000ffff0000,5dd71c7b02fe94ac,0
49,0xDE70,0xE1F0,896,7.3820,0x00000002,0x0002,02000000ffff0000,16edb73ad95b9d87,0
50,0xE1F0,0xE890,1696,7.6276,0x00000002,0x0002,02000000ffff0000,899cbad1004e47d8,0
51,0xE890,0xECD0,1088,7.4773,0x00000002,0x0002,02000000ffff0000,c8b7dc279774577d,0
52,0xECD0,0xF330,1632,7.6536,0x00000002,0x0002,02000000ffff0000,d709abfc66e30962,0
53,0xF330,0xFBD0,2208,7.7016,0x00000002,0x0002,02000000ffff0000,a3808412058c985e,0
54,0xFBD0,0x10330,1888,7.6407,0x00000002,0x0002,02000000ffff0000,e835a8f46a10bb43,0
55,0x10330,0x10C90,2400,7.6120,0x00000002,0x0002,02000000ffff0000,a86da2339fc0c797,0
56,0x10C90,0x11390,1792,7.6143,0x00000002,0x0002,02000000ffff0000,7ca752dfe66a3a27,0
57,0x11390,0x11730,928,7.2681,0x00000002,0x0002,02000000ffff0000,ce415e8125ca27f0,2
58,0x11730,0x11A70,832,7.3190,0x00000002,0x0002,02000000ffff0000,387f54115b832c42,0
59,0x11A70,0x11C90,544,6.7861,0x00000002,0x0002,02000000ffff0000,6ceb665853a90c1f,0
60,0x11C90,0x11FD0,832,7.4208,0x00000002,0x0002,02000000ffff0000,1971205382caaf76,0
61,0x11FD0,0x12130,352,6.4614,0x00000002,0x0002,02000000ffff0000,95aaaf063a95a6ac,0
62,0x12130,0x12490,864,7.3024,0x00000002,0x0002,02000000ffff0000,410f2ac3454442db,0
63,0x12490,0x12750,704,7.2701,0x00000002,0x0002,02000000ffff0000,4d78688c8632fe54,0
64,0x12750,0x12CD0,1408,7.4919,0x00000002,0x0002,02000000ffff0000,89132413b2400aca,0
65,0x12CD0,0x13350,1664,7.4749,0x00000002,0x0002,02000000ffff0000,547265de40269dc4,0
66,0x13350,0x13DD0,2688,7.7239,0x00000002,0x0002,02000000ffff0000,9a0376d01a5b3237,0
67,0x13DD0,0x147F0,2592,7.7288,0x00000002,0x0002,02000000ffff0000,4de8a693cccc850c,0
68,0x147F0,0x151B0,2496,7.6893,0x00000002,0x0002,02000000ffff0000,bbf279bb37bd42b2,0
69,0x151B0,0x158D0,1824,7.6620,0x00000002,0x0002,02000000ffff0000,e99136acdf87b240,0
70,0x158D0,0x15B10,576,6.9460,0x00000002,0x0002,02000000ffff0000,ab753d80f7eec175,0
71,0x15B10,0x15E10,768,7.1447,0x00000002,0x0002,02000000ffff0000,19e025e26278a2fc,0
72,0x15E10,0x16030,544,6.7067,0x00000002,0x0002,02000000ffff0000,48e00a3ddfd06008,0
73,0x16030,0x162D0,672,7.1870,0x00000002,0x0002,02000000ffff0000,4a38d79c4c1f242a,2
74,0x162D0,0x16470,416,6.7065,0x00000002,0x0002,02000000ffff0000,b2d85cac63ae768b,0
75,0x16470,0x168B0,1088,7.4278,0x00000002,0x0002,02000000ffff0000,fbc46812971bd233,0
76,0x168B0,0x16BF0,832,7.3895,0x00000002,0x0002,02000000ffff0000,c74512e092677332,0
77,0x16BF0,0x17190,1440,7.4984,0x00000002,0x0002,02000000ffff0000,1de604c152a4732e,0
78,0x17190,0x17710,1408,7.5419,0x00000002,0x0002,02000000ffff0000,89f3cca946425bd8,0
79,0x17710,0x17F70,2144,7.7071,0x00000002,0x0002,02000000ffff0000,f3835de2924916db,4
