index,start_hex,end_hex,size,entropy,first_u32_hex,first_u16_hex,header8_hex,sha1_16,zlib_header_hits
0,0x0,0x110,272,4.7299,0x00414D50,0x4D50,504d410005000000,9f583f08001cf6c0,0
1,0x110,0x1E0,208,4.8106,0x00000002,0x0002,02000000ffff0000,1915236b503a51ae,0
2,0x1E0,0x2B0,208,4.8323,0x00000002,0x0002,02000000ffff0000,01c764506388e42f,0
3,0x2B0,0x380,208,4.8133,0x00000002,0x0002,02000000ffff0000,39ed124002613db4,0
4,0x380,0x450,208,4.8616,0x00000002,0x0002,02000000ffff0000,47b75cd6e240581f,0
5,0x450,0x520,208,4.8496,0x00000002,0x0002,02000000ffff0000,054a4641fd3151f7,0
6,0x520,0x5F0,208,4.8383,0x00000002,0x0002,02000000ffff0000,28342b0d74948114,0
7,0x5F0,0x6C0,208,4.8484,0x00000002,0x0002,02000000ffff0000,91cba9f7d77969ec,0
8,0x6C0,0x790,208,4.8460,0x00000002,0x0002,02000000ffff0000,026da7e94fa3993c,0
9,0x790,0x870,224,5.3311,0x00000002,0x0002,02000000ffff0000,b52b6ff1ed995f6a,0
10,0x870,0x920,176,4.8345,0x00000002,0x0002,02000000ffff0000,9e4594124d3b8ee8,0
11,0x920,0x9C0,160,3.8418,0x00000002,0x0002,02000000ffff0000,79603ffa310d420e,0
12,0x9C0,0xA60,160,3.8246,0x00000002,0x0002,02000000ffff0000,d8493510fb3ffc78,0
13,0xA60,0xB00,160,3.8543,0x00000002,0x0002,02000000ffff0000,6534743abf8a5b62,0
14,0xB00,0xBA0,160,3.8418,0x00000002,0x0002,02000000ffff0000,b0326475ee5db8ab,0
15,0xBA0,0xC40,160,3.8418,0x00000002,0x0002,02000000ffff0000,fa4b11599396f492,0
16,0xC40,0xCE0,160,3.7859,0x00000002,0x0002,02000000ffff0000,e2fde3e7d376f672,0
17,0xCE0,0xD80,160,3.8073,0x00000002,0x0002,02000000ffff0000,a180ccaa99810964,0
18,0xD80,0xE20,160,3.7443,0x00000002,0x0002,02000000ffff0000,ee857e113a98ec85,0
19,0xE20,0xED0,176,4.7011,0x00000002,0x0002,02000000ffff0000,31bf2618eec3ca33,0
20,0xED0,0x1320,1104,7.5932,0x00000002,0x0002,02000000ffff0000,d00f36cbd11f76c0,1
21,0x1320,0x1760,1088,7.3252,0x00000002,0x0002,02000000ffff0000,555ebc12ec5c7772,0
22,0x1760,0x1AE0,896,7.2929,0x00000002,0x0002,02000000ffff0000,70648d5a9fbe72d5,0
23,0x1AE0,0x2000,1312,7.5471,0x00000002,0x0002,02000000ffff0000,43375dae9bf22e02,0
24,0x2000,0x2360,864,7.1883,0x00000002,0x0002,02000000ffff0000,31da2c8b6d414706,0
25,0x2360,0x2840,1248,7.4850,0x00000002,0x0002,02000000ffff0000,a3c8a87d2788a128,0
26,0x2840,0x2C00,960,7.2713,0x00000002,0x0002,02000000ffff0000,0cd458d36de7561d,0
27,0x2C00,0x3140,1344,7.4756,0x00000002,0x0002,02000000ffff0000,598994f7b5322bd3,2
28,0x3140,0x35E0,1184,7.4283,0x00000002,0x0002,02000000ffff0000,aaede644ede37a3a,0
29,0x35E0,0x3960,896,7.3581,0x00000002,0x0002,02000000ffff0000,1c6c5eae66af5d95,0
30,0x3960,0x3E20,1216,7.7094,0x00000002,0x0002,02000000ffff0000,08ca9103958a6c39,0
31,0x3E20,0x42E0,1216,7.4956,0x00000002,0x0002,02000000ffff0000,deac379e7afacb0c,0
32,0x42E0,0x47E0,1280,7.4822,0x00000002,0x0002,02000000ffff0000,580cece603a0a800,0
33,0x47E0,0x4EC0,1760,7.6501,0x00000002,0x0002,02000000ffff0000,21d1f5cef285fbcb,0
34,0x4EC0,0x5500,1600,7.6298,0x00000002,0x0002,02000000ffff0000,d8103b3be686f686,0
35,0x5500,0x5D00,2048,7.6442,0x00000002,0x0002,02000000ffff0000,aaca1218460d7e28,0
36,0x5D00,0x6240,1344,7.5857,0x00000002,0x0002,02000000ffff0000,15c19f6c140a7ee4,0
37,0x6240,0x67A0,1376,7.6140,0x00000002,0x0002,02000000ffff0000,bd699bec3893930a,0
38,0x67A0,0x6BE0,1088,7.4367,0x00000002,0x0002,02000000ffff0000,f9342fadbb362ce2,0
39,0x6BE0,0x6FC0,992,7.4440,0x00000002,0x0002,02000000ffff0000,3652177733995015,0
40,0x6FC0,0x74A0,1248,7.5194,0x00000002,0x0002,02000000ffff0000,85a699e887e5e1e3,0
41,0x74A0,0x7980,1248,7.5370,0x00000002,0x0002,02000000ffff0000,a44c2f9a91e17851,0
42,0x7980,0x7E00,1152,7.5038,0x00000002,0x0002,02000000ffff0000,e2149586bcf638df,0
43,0x7E00,0x8420,1568,7.5421,0x00000002,0x0002,02000000ffff0000,b353fec6e94ec71c,0
44,0x8420,0x8B00,1760,7.6479,0x00000002,0x0002,02000000ffff0000,6bcd92d61d4c84ae,2
45,0x8B00,0x8F60,1120,7.4924,0x00000002,0x0002,02000000ffff0000,8d73cb186ddb37b5,0
46,0x8F60,0x9560,1536,7.6423,0x00000002,0x0002,02000000ffff0000,49c528ad5f4a06f8,0
47,0x9560,0x9B40,1504,7.5839,0x00000002,0x0002,02000000ffff0000,81e8535f910a35df,0
48,0x9B40,0xA080,1344,7.6245,0x00000002,0x0002,02000000ffff0000,5108b52d14d2dc98,0
49,0xA080,0xA4E0,1120,7.5169,0x00000002,0x0002,02000000ffff0000,4d3849da704ead92,0
50,0xA4E0,0xA980,1184,7.6516,0x00000002,0x0002,02000000ffff0000,f9f5707dd842a10f,0
51,0xA980,0xAE60,1248,7.5371,0x00000002,0x0002,02000000ffff0000,aa61f049cf1605b5,0
52,0xAE60,0xB320,1216,7.5477,0x00000002,0x0002,02000000ffff0000,1972289c37db3931,0
53,0xB320,0xB920,1536,7.5889,0x00000002,0x0002,02000000ffff0000,0236145299391980,0
54,0xB920,0xC100,2016,7.6988,0x00000002,0x0002,02000000ffff0000,2d6646ec4b7b6228,0
55,0xC100,0xC7E0,1760,7.6967,0x00000002,0x0002,02000000ffff0000,b3fc3cfef705b0f2,0
56,0xC7E0,0xCE40,1632,7.6679,0x00000002,0x0002,02000000ffff0000,da9ca1b5a6bdacdd,0
57,0xCE40,0xD3E0,1440,7.6074,0x00000002,0x0002,02000000ffff0000,6bbe711600589ea4,0
58,0xD3E0,0xD820,1088,7.4450,0x00000002,0x0002,02000000ffff0000,27a6bd5c4d9084d3,0
59,0xD820,0xDBD0,944,7.4841,0x00000002,0x0002,02000000ffff0000,f2f7dc3d00e19f95,0
60,0xDBD0,0xDF70,928,7.4720,0x00000002,0x0002,02000000ffff0000,df2840372e61f4fa,0
61,0xDF70,0xE2B0,832,7.2880,0x00000002,0x0002,02000000ffff0000,8e20247a3b98ded4,0
62,0xE2B0,0xE730,1152,7.4973,0x00000002,0x0002,02000000ffff0000,4a7eaaa25bf047c4,0
63,0xE730,0xEE10,1760,7.6357,0x00000002,0x0002,02000000ffff0000,5c3eed1c1b89b2ba,2
64,0xEE10,0xF4F0,1760,7.6553,0x00000002,0x0002,02000000ffff0000,03728b6a03fe747f,0
65,0xF4F0,0xFB30,1600,7.6458,0x00000002,0x0002,02000000ffff0000,9699c5e7626cefd1,0
66,0xFB30,0xFFD0,1184,7.4986,0x00000002,0x0002,02000000ffff0000,6be4a39eb43640ec,0
67,0xFFD0,0x103B0,992,7.3962,0x00000002,0x0002,02000000ffff0000,d6888fde0fc0d9d8,0
68,0x103B0,0x106F0,832,7.2980,0x00000002,0x0002,02000000ffff0000,bd32c71c03c21b98,0
69,0x106F0,0x10A70,896,7.2999,0x00000002,0x0002,02000000ffff0000,009f10dacfa33d5e,0
70,0x10A70,0x10F50,1248,7.7636,0x00000002,0x0002,02000000ffff0000,057931a515742ee9,0
71,0x10F50,0x11590,1600,7.6434,0x00000002,0x0002,02000000ffff0000,82a9cc2b14709eec,0
72,0x11590,0x11CB0,1824,7.6975,0x00000002,0x0002,02000000ffff0000,838b7e45060eb762,0
73,0x11CB0,0x12390,1760,7.6578,0x00000002,0x0002,02000000ffff0000,914f5dc4488f7663,0
74,0x12390,0x129F0,1632,7.6902,0x00000002,0x0002,02000000ffff0000,334446cd78352fcc,0
75,0x129F0,0x13070,1664,7.6090,0x00000002,0x0002,02000000ffff0000,d3c10c11f38fcef8,2
76,0x13070,0x13550,1248,7.4510,0x00000002,0x0002,02000000ffff0000,d4589e416dc7e305,0
77,0x13550,0x139B0,1120,7.4786,0x00000002,0x0002,02000000ffff0000,87423e71b1b5398d,0
78,0x139B0,0x13EB0,1280,7.5191,0x00000002,0x0002,02000000ffff0000,d010022d2a2517e2,0
79,0x13EB0,0x144F0,1600,7.6079,0x00000002,0x0002,02000000ffff0000,2ae8fe9cfd98bd1e,0
80,0x144F0,0x14D70,2176,7.8271,0x00000002,0x0002,02000000ffff0000,637f9e6847534b48,0
81,0x14D70,0x15690,2336,7.7239,0x00000002,0x0002,02000000ffff0000,86babf7b581ad5bd,0
82,0x15690,0x15F90,2304,7.7441,0x00000002,0x0002,02000000ffff0000,bac9b535a059e057,0
83,0x15F90,0x167B0,2080,7.6570,0x00000002,0x0002,02000000ffff0000,003d3e3ff1707f7e,0
84,0x167B0,0x16CF0,1344,7.5821,0x00000002,0x0002,02000000ffff0000,f9ccb1fc925777d3,0
85,0x16CF0,0x172B0,1472,7.6153,0x00000002,0x0002,02000000ffff0000,bcfbc4087f5b7fb2,0
86,0x172B0,0x17A30,1920,7.6614,0x00000002,0x0002,02000000ffff0000,0237069335cd9058,0
87,0x17A30,0x182B0,2176,7.7054,0x00000002,0x0002,02000000ffff0000,8eaa8bcde2532e24,0
88,0x182B0,0x18BB0,2304,7.6588,0x00000002,0x0002,02000000ffff0000,265c7d5b09eca417,0
89,0x18BB0,0x19510,2400,7.6774,0x00000002,0x0002,02000000ffff0000,b8aeaa4219f68e2f,0
90,0x19510,0x19E10,2304,7.7876,0x00000002,0x0002,02000000ffff0000,b1b4c93d3d7dc0d7,0
91,0x19E10,0x1A670,2144,7.6781,0x00000002,0x0002,02000000ffff0000,c50c04f385ea614a,0
92,0x1A670,0x1AEF0,2176,7.7066,0x00000002,0x0002,02000000ffff0000,5cc6c471ae24abff,0
93,0x1AEF0,0x1B5D0,1760,7.6455,0x00000002,0x0002,02000000ffff0000,09307b99b5a52fe3,0
94,0x1B5D0,0x1BB10,1344,7.5898,0x00000002,0x0002,02000000ffff0000,ae4bbad48e57dc48,0
95,0x1BB10,0x1C230,1824,7.5894,0x00000002,0x0002,02000000ffff0000,7309710134f2361f,0
96,0x1C230,0x1C6B0,1152,7.5382,0x00000002,0x0002,02000000ffff0000,d847245cbaa57dd1,0
97,0x1C6B0,0x1CF10,2144,7.7103,0x00000002,0x0002,02000000ffff0000,d52197d9f987e029,0
98,0x1CF10,0x1D7B0,2208,7.6761,0x00000002,0x0002,02000000ffff0000,e0f93203339d372f,0
99,0x1D7B0,0x1E030,2176,7.6985,0x00000002,0x0002,02000000ffff0000,e1425adb8935cf68,0
100,0x1E030,0x1E6F0,1728,7.7479,0x00000002,0x0002,02000000ffff0000,92882101d309f1b6,0
101,0x1E6F0,0x1EE30,1856,7.6299,0x00000002,0x0002,02000000ffff0000,5132fcfc5e7cef05,0
102,0x1EE30,0x1F530,1792,7.6034,0x00000002,0x0002,02000000ffff0000,970c3dca3ae9c2e0,0
103,0x1F530,0x1FC70,1856,7.6220,0x00000002,0x0002,02000000ffff0000,52e69c556725dcc6,0
104,0x1FC70,0x202B0,1600,7.5684,0x00000002,0x0002,02000000ffff0000,a6fd2d763c739498,0
105,0x202B0,0x20A70,1984,7.6347,0x00000002,0x0002,02000000ffff0000,530ef1529d981b1f,0
