index,start_hex,end_hex,size,entropy,first_u32_hex,first_u16_hex,header8_hex,sha1_16,zlib_header_hits
0,0x0,0x510,1296,7.4744,0x00414D50,0x4D50,504d410005000000,9b2ddfb53e560b6f,0
1,0x510,0x890,896,7.3147,0x00000002,0x0002,02000000ffff0000,9d8b2fe25262b451,0
2,0x890,0xB30,672,7.1064,0x00000002,0x0002,02000000ffff0000,f25084a568e546f1,0
3,0xB30,0xF50,1056,7.4456,0x00000002,0x0002,02000000ffff0000,d0dce7c427242b54,0
4,0xF50,0x11F0,672,7.1205,0x00000002,0x0002,02000000ffff0000,9dfbb3ebeec33627,0
5,0x11F0,0x1530,832,7.3358,0x00000002,0x0002,02000000ffff0000,7aee7fdc9240b53f,0
6,0x1530,0x18D0,928,7.3935,0x00000002,0x0002,02000000ffff0000,6cc7fcdf1cdfaa3e,0
7,0x18D0,0x1A10,320,5.8926,0x00000002,0x0002,02000000ffff0000,fd90d57a8b11c137,0
8,0x1A10,0x1C70,608,6.9826,0x00000002,0x0002,02000000ffff0000,d65c0235c0ff9b1e,0
9,0x1C70,0x1EB0,576,7.0355,0x00000002,0x0002,02000000ffff0000,c9430e826d5c520b,0
10,0x1EB0,0x23D0,1312,7.5721,0x00000002,0x0002,02000000ffff0000,48b9b03d630440d0,0
11,0x23D0,0x2810,1088,7.5307,0x00000002,0x0002,02000000ffff0000,8f461b1d474bb817,0
12,0x2810,0x2D70,1376,7.4937,0x00000002,0x0002,02000000ffff0000,d88a4fd376302eea,0
13,0x2D70,0x32D0,1376,7.5641,0x00000002,0x0002,02000000ffff0000,48e3fc48d7a5d33b,0
14,0x32D0,0x3830,1376,7.5932,0x00000002,0x0002,02000000ffff0000,e25e35ff95508219,0
15,0x3830,0x3BF0,960,7.4876,0x00000002,0x0002,02000000ffff0000,99ed554b7fcbd800,0
16,0x3BF0,0x3FB0,960,7.3371,0x00000002,0x0002,02000000ffff0000,36142120678715bd,0
17,0x3FB0,0x4070,192,5.1757,0x00000002,0x0002,02000000ffff0000,9f70c39c4e704eed,0
18,0x4070,0x4570,1280,7.5707,0x00000002,0x0002,02000000ffff0000,0efc5b9ff0b6504b,0
19,0x4570,0x48D0,864,7.2362,0x00000002,0x0002,02000000ffff0000,b5dfb6708dc914e3,0
20,0x48D0,0x4F30,1632,7.6581,0x00000002,0x0002,02000000ffff0000,a871941d3a4f4418,0
