index,start_hex,end_hex,size,entropy,first_u32_hex,first_u16_hex,header8_hex,sha1_16,zlib_header_hits
0,0x0,0xD0,208,3.5736,0x00414D50,0x4D50,504d410005000000,cb5088772637f191,0
1,0xD0,0x170,160,3.7624,0x00000002,0x0002,02000000ffff0000,509216b9d68b8127,0
2,0x170,0x210,160,3.7481,0x00000002,0x0002,02000000ffff0000,016c64868071db5d,0
3,0x210,0x2B0,160,3.9907,0x00000002,0x0002,02000000ffff0000,66d9b00b48c4a18c,0
4,0x2B0,0x370,192,4.7486,0x00000002,0x0002,02000000ffff0000,dbd9c19582440703,0
5,0x370,0x430,192,5.0515,0x00000002,0x0002,02000000ffff0000,04ca7c2d67c3de37,0
6,0x430,0x4D0,160,4.0343,0x00000002,0x0002,02000000ffff0000,211ff041f8416147,0
7,0x4D0,0x570,160,3.8418,0x00000002,0x0002,02000000ffff0000,6a9b3a5380fa4283,0
8,0x570,0x610,160,3.8112,0x00000002,0x0002,02000000ffff0000,16d660668833dd09,0
9,0x610,0x6B0,160,3.8418,0x00000002,0x0002,02000000ffff0000,8d3f01726dc111d4,0
10,0x6B0,0x750,160,3.8159,0x00000002,0x0002,02000000ffff0000,12f89342c2158ff4,0
11,0x750,0x7F0,160,3.8543,0x00000002,0x0002,02000000ffff0000,76afcc6908311602,0
12,0x7F0,0x890,160,4.2408,0x00000002,0x0002,02000000ffff0000,15ec9bf2d6fbe8f1,0
13,0x890,0x9D0,320,6.4488,0x00000002,0x0002,02000000ffff0000,8ed2abf7d00784a9,0
14,0x9D0,0xC70,672,7.0635,0x00000002,0x0002,02000000ffff0000,96c8550ec62971e9,0
15,0xC70,0xFD0,864,7.3772,0x00000002,0x0002,02000000ffff0000,fa9e912f70f55b60,0
16,0xFD0,0x1130,352,6.1397,0x00000002,0x0002,02000000ffff0000,94dd4971cdeda921,0
17,0x1130,0x11D0,160,4.5992,0x00000002,0x0002,02000000ffff0000,031b350807fc6922,0
18,0x11D0,0x1270,160,3.8418,0x00000002,0x0002,02000000ffff0000,07dae02486a337a2,0
19,0x1270,0x1310,160,3.8112,0x00000002,0x0002,02000000ffff0000,61de153142d4b241,0
20,0x1310,0x13B0,160,3.8418,0x00000002,0x0002,02000000ffff0000,02b63d95c8ef5641,0
21,0x13B0,0x1450,160,3.8738,0x00000002,0x0002,02000000ffff0000,1d5a00428fca32b4,0
22,0x1450,0x1510,192,4.7776,0x00000002,0x0002,02000000ffff0000,892cb9971befc60c,0
23,0x1510,0x16F0,480,6.7906,0x00000002,0x0002,02000000ffff0000,8dab3285161f7ee0,0
24,0x16F0,0x1B30,1088,7.4467,0x00000002,0x0002,02000000ffff0000,e73152dd8410a296,0
25,0x1B30,0x1FF0,1216,7.5047,0x00000002,0x0002,02000000ffff0000,f534f08798dcff7a,0
26,0x1FF0,0x22F0,768,7.3091,0x00000002,0x0002,02000000ffff0000,b8e93453ea6710aa,0
27,0x22F0,0x23B0,192,5.3086,0x00000002,0x0002,02000000ffff0000,0fd28de5d74051e4,0
28,0x23B0,0x2450,160,3.8418,0x00000002,0x0002,02000000ffff0000,085e49381dc2a0e7,0
29,0x2450,0x24F0,160,3.8543,0x00000002,0x0002,02000000ffff0000,aaccecab01dabb18,0
30,0x24F0,0x2590,160,3.8246,0x00000002,0x0002,02000000ffff0000,07c2711ad7211ea6,0
31,0x2590,0x2630,160,4.0907,0x00000002,0x0002,02000000ffff0000,0e081604499943f6,0
32,0x2630,0x26F0,192,4.9692,0x00000002,0x0002,02000000ffff0000,2bccd37f19658e26,0
33,0x26F0,0x28D0,480,6.7400,0x00000002,0x0002,02000000ffff0000,903b46daf34b8aa0,0
34,0x28D0,0x2E50,1408,7.5774,0x00000002,0x0002,02000000ffff0000,42c408c199857c93,0
35,0x2E50,0x3530,1760,7.6628,0x00000002,0x0002,02000000ffff0000,f266dbe2a1eaecc1,0
36,0x3530,0x39F0,1216,7.4214,0x00000002,0x0002,02000000ffff0000,b1aabb131873a41c,0
37,0x39F0,0x3AD0,224,5.9215,0x00000002,0x0002,02000000ffff0000,7c1538fc285582b1,0
38,0x3AD0,0x3B70,160,3.8418,0x00000002,0x0002,02000000ffff0000,deeaf782d43ede1b,0
39,0x3B70,0x3C10,160,3.8112,0x00000002,0x0002,02000000ffff0000,550f00e00343dc35,0
40,0x3C10,0x3CB0,160,3.8418,0x00000002,0x0002,02000000ffff0000,eae3e6143def2404,0
41,0x3CB0,0x3D50,160,4.1775,0x00000002,0x0002,02000000ffff0000,baa0f75e390cafb6,0
42,0x3D50,0x3E10,192,4.9917,0x00000002,0x0002,02000000ffff0000,41e4fd5c6ed88da2,0
43,0x3E10,0x3FD0,448,6.8062,0x00000002,0x0002,02000000ffff0000,7430417061f1a165,0
44,0x3FD0,0x4350,896,7.2582,0x00000002,0x0002,02000000ffff0000,cccef9bf5f8e1166,2
45,0x4350,0x4A70,1824,7.6124,0x00000002,0x0002,02000000ffff0000,fdf07f5eaa1f4736,0
46,0x4A70,0x4D10,672,7.0403,0x00000002,0x0002,02000000ffff0000,d9c77d40179100c4,0
47,0x4D10,0x4F70,608,7.1929,0x00000002,0x0002,02000000ffff0000,1f96b636d473032e,0
48,0x4F70,0x5030,192,5.2351,0x00000002,0x0002,02000000ffff0000,4d8f059fb33ba1a2,0
49,0x5030,0x50D0,160,3.8418,0x00000002,0x0002,02000000ffff0000,16f5eb56c3941e60,0
50,0x50D0,0x5170,160,3.8246,0x00000002,0x0002,02000000ffff0000,3c8d559ca00b2cfd,0
51,0x5170,0x5210,160,4.3406,0x00000002,0x0002,02000000ffff0000,8950b6e15aafc9df,0
52,0x5210,0x52D0,192,5.0218,0x00000002,0x0002,02000000ffff0000,ae27e4b8dd1660d7,0
53,0x52D0,0x53F0,288,5.8353,0x00000002,0x0002,02000000ffff0000,b4e7fa443e01712c,0
54,0x53F0,0x5730,832,7.2529,0x00000002,0x0002,02000000ffff0000,4b6ca87a4337567a,0
55,0x5730,0x5B90,1120,7.3135,0x00000002,0x0002,02000000ffff0000,6b7fc66ee9ff537a,0
56,0x5B90,0x5D10,384,6.3165,0x00000002,0x0002,02000000ffff0000,210b5f2c8bf844a2,0
57,0x5D10,0x5F10,512,6.9959,0x00000002,0x0002,02000000ffff0000,405d90b8c30e0ba9,0
58,0x5F10,0x5FB0,160,4.8386,0x00000002,0x0002,02000000ffff0000,a2a70d280d2fa763,0
59,0x5FB0,0x6050,160,3.8159,0x00000002,0x0002,02000000ffff0000,7398fcc3720c2095,0
60,0x6050,0x60F0,160,3.8543,0x00000002,0x0002,02000000ffff0000,2299786fb5edb914,0
61,0x60F0,0x6190,160,4.2516,0x00000002,0x0002,02000000ffff0000,91aa6f943bb7af38,0
62,0x6190,0x6230,160,5.1901,0x00000002,0x0002,02000000ffff0000,c2815ff4596869d2,0
63,0x6230,0x6310,224,5.7085,0x00000002,0x0002,02000000ffff0000,bc890502d820562f,0
64,0x6310,0x66D0,960,7.2407,0x00000002,0x0002,02000000ffff0000,cae7315224041e42,0
65,0x66D0,0x69B0,736,7.1703,0x00000002,0x0002,02000000ffff0000,fdf75aca63708a2e,0
66,0x69B0,0x6B50,416,6.6674,0x00000002,0x0002,02000000ffff0000,9c979c808aad83d4,0
67,0x6B50,0x6C70,288,6.0478,0x00000002,0x0002,02000000ffff0000,13afc009fc50537d,0
68,0x6C70,0x6D10,160,3.8246,0x00000002,0x0002,02000000ffff0000,bbbb78f703cb54c0,0
69,0x6D10,0x6DB0,160,3.8418,0x00000002,0x0002,02000000ffff0000,61587aab31ba6bc7,0
70,0x6DB0,0x6E50,160,3.8159,0x00000002,0x0002,02000000ffff0000,bb8c26aba4e0524d,0
71,0x6E50,0x6EF0,160,4.1916,0x00000002,0x0002,02000000ffff0000,527602c67070aad4,0
72,0x6EF0,0x6FB0,192,5.3846,0x00000002,0x0002,02000000ffff0000,757bcc1884c8a232,0
73,0x6FB0,0x70F0,320,6.3812,0x00000002,0x0002,02000000ffff0000,e7be34a2311b4be7,0
74,0x70F0,0x7350,608,7.0012,0x00000002,0x0002,02000000ffff0000,bd5a0e0daee81660,0
75,0x7350,0x74F0,416,6.6109,0x00000002,0x0002,02000000ffff0000,92feb06eb8f05bb9,0
76,0x74F0,0x7670,384,6.4395,0x00000002,0x0002,02000000ffff0000,12338b5997f33526,0
77,0x7670,0x7750,224,5.3604,0x00000002,0x0002,02000000ffff0000,a6bbd23936a37ce5,0
78,0x7750,0x77F0,160,3.9508,0x00000002,0x0002,02000000ffff0000,8e234bbea04464af,0
79,0x77F0,0x7890,160,3.8246,0x00000002,0x0002,02000000ffff0000,c656050636adccf0,0
80,0x7890,0x7930,160,3.8418,0x00000002,0x0002,02000000ffff0000,2fd237f105ca5580,0
