index,start_hex,end_hex,size,entropy,first_u32_hex,first_u16_hex,header8_hex,sha1_16,zlib_header_hits
0,0x0,0xD0,208,3.6300,0x00414D50,0x4D50,504d410005000000,bd4d964bea473dad,0
1,0xD0,0x170,160,3.7624,0x00000002,0x0002,02000000ffff0000,509216b9d68b8127,0
2,0x170,0x210,160,3.7481,0x00000002,0x0002,02000000ffff0000,016c64868071db5d,0
3,0x210,0x2B0,160,3.8168,0x00000002,0x0002,02000000ffff0000,2d6629d08f8c401f,0
4,0x2B0,0x350,160,3.7987,0x00000002,0x0002,02000000ffff0000,9492221e96472d61,0
5,0x350,0x3F0,160,3.8418,0x00000002,0x0002,02000000ffff0000,2488a4749958a614,0
6,0x3F0,0x490,160,3.8246,0x00000002,0x0002,02000000ffff0000,1416798892a697ee,0
7,0x490,0x530,160,3.8418,0x00000002,0x0002,02000000ffff0000,be95e5f50c75c432,0
8,0x530,0x5D0,160,3.8073,0x00000002,0x0002,02000000ffff0000,18afd31cd24857f2,0
9,0x5D0,0x670,160,3.8418,0x00000002,0x0002,02000000ffff0000,bb2c3f4242b64ddd,0
10,0x670,0x710,160,3.8112,0x00000002,0x0002,02000000ffff0000,ab9b82edb74b7915,0
11,0x710,0x7B0,160,3.8418,0x00000002,0x0002,02000000ffff0000,e75664a7c104db28,0
12,0x7B0,0x850,160,3.8159,0x00000002,0x0002,02000000ffff0000,9e11cce9c854cec2,0
13,0x850,0x8F0,160,3.8543,0x00000002,0x0002,02000000ffff0000,d749e8de0689454b,0
14,0x8F0,0x990,160,3.8246,0x00000002,0x0002,02000000ffff0000,86b2dfe46118caa2,0
15,0x990,0xA30,160,3.8418,0x00000002,0x0002,02000000ffff0000,bf1d884ebb8741b4,0
16,0xA30,0xAD0,160,3.8073,0x00000002,0x0002,02000000ffff0000,046892b479e2d882,0
17,0xAD0,0xB70,160,3.8418,0x00000002,0x0002,02000000ffff0000,ac58c33ff040a321,0
18,0xB70,0xC10,160,3.8112,0x00000002,0x0002,02000000ffff0000,257f793ed9489147,0
19,0xC10,0xCB0,160,3.8418,0x00000002,0x0002,02000000ffff0000,d745e2bc19259540,0
20,0xCB0,0xDB0,256,5.9909,0x00000002,0x0002,02000000ffff0000,5972c021fae2120e,0
21,0xDB0,0xF10,352,6.4267,0x00000002,0x0002,02000000ffff0000,044f0d1f62596cab,0
22,0xF10,0x1170,608,7.0169,0x00000002,0x0002,02000000ffff0000,dfc50f32db23791b,0
23,0x1170,0x1450,736,7.2143,0x00000002,0x0002,02000000ffff0000,3a8878a0f1e46134,2
24,0x1450,0x17D0,896,7.4444,0x00000002,0x0002,02000000ffff0000,e6b37459eeed603f,0
25,0x17D0,0x1E30,1632,7.6012,0x00000002,0x0002,02000000ffff0000,2d78fc9a8e05cc91,0
26,0x1E30,0x25B0,1920,7.6234,0x00000002,0x0002,02000000ffff0000,9225a7e4f051398e,2
27,0x25B0,0x2C90,1760,7.6611,0x00000002,0x0002,02000000ffff0000,bb8c54450d8150be,0
