opcode_hex,value_hex,in_opcode_stream,in_resources,product_score
0x01,0x00B0,1586,159489,252949554
0x00,0xB001,1634,94469,154362346
0x00,0x0100,840,161000,135240000
0x00,0x0002,824,129436,106655264
0xDC,0xD168,732,124117,90853644
0x37,0x341A,668,101027,67486036
0xFF,0x00FF,422,5944,2508368
0xB0,0x0002,18,129436,2329848
0x01,0x0100,14,161000,2254000
0x00,0x00B0,13,159489,2073357
0xFF,0x0002,14,129436,1812104
0x20,0x0002,12,129436,1553232
0x00,0x0040,30,43706,1311180
0x08,0x0001,10,98748,987480
0xB0,0x0001,10,98748,987480
0x02,0x0100,6,161000,966000
0x40,0x0002,6,129436,776616
0xFB,0x0002,6,129436,776616
0x00,0x0200,794,778,617732
0x40,0x0001,6,98748,592488
0x7F,0x0001,6,98748,592488
0xB0,0xA3D1,6,88743,532458
0x01,0x0002,4,129436,517744
0x80,0x0002,4,129436,517744
0x04,0x0002,4,129436,517744
0x40,0x0004,24,21139,507336
0x00,0x4900,391,1168,456688
0x00,0x0068,32,13931,445792
0xB0,0x0240,16,27757,444112
0xC0,0x0240,16,27757,444112
0xFF,0x0001,4,98748,394992
0xE0,0x0001,4,98748,394992
0xEF,0x0001,4,98748,394992
0xE0,0x0240,14,27757,388598
0x20,0xB001,4,94469,377876
0xE0,0xB001,4,94469,377876
0x00,0x005A,54,6184,333936
0x02,0x0240,12,27757,333084
0x00,0x005C,76,4110,312360
0x01,0x2020,12,23477,281724
0x80,0x0008,18,14926,268668
0x40,0x0008,18,14926,268668
0x80,0x0034,20,13181,263620
0x00,0x0010,26,9598,249548
0x00,0x004C,54,4456,240624
0x00,0x004E,54,4332,233928
0x80,0x0010,24,9598,230352
0x00,0x002D,66,3461,228426
0x00,0x0240,8,27757,222056
0x01,0x0240,8,27757,222056
0x80,0x0240,8,27757,222056
0x40,0x0240,8,27757,222056
0x00,0x0030,46,4694,215924
0x00,0x005E,54,3990,215460
0x00,0x1000,86,2496,214656
0x00,0x00A0,6,35749,214494
0x00,0x00D0,8,26368,210944
0x00,0x0056,72,2809,202248
0x80,0x0006,18,11194,201492
0x00,0x0058,56,3372,188832
0x00,0x3000,100,1872,187200
0x00,0x0034,14,13181,184534
0x00,0x0048,44,4171,183524
0x00,0x004A,46,3965,182390
0xFB,0x0003,8,21763,174104
0x00,0x0054,64,2678,171392
0x00,0x0046,32,5295,169440
0xC0,0x0004,8,21139,169112
0x00,0xB000,95,1736,164920
0x00,0x0050,50,3268,163400
0x00,0x000B,24,6800,163200
0x00,0x002B,50,3127,156350
0x00,0x0021,46,3341,153686
0x00,0x003C,42,3628,152376
0x00,0x0008,10,14926,149260
0xC0,0x0008,10,14926,149260
0xFC,0x0008,10,14926,149260
0x00,0x01E4,50,2948,147400
0x1F,0x00A0,4,35749,142996
0x00,0x002A,46,3052,140392
0x00,0x0060,62,2256,139872
0x00,0x01D8,48,2896,139008
0x00,0x007C,68,2025,137700
0x00,0x0018,40,3440,137600
0x80,0x003E,38,3606,137028
0x80,0x003A,34,3988,135592
0x00,0x002E,38,3562,135356
0xE0,0x0010,14,9598,134372
0x00,0x002C,36,3720,133920
