opcode_hex,count,top_followers
0x00,39403,00:17190 01:875 FF:523 02:460 49:436 30:232 B0:221 F0:209
0x01,7473,B0:912 00:274 03:164 F0:112 78:102 F8:102 D8:102 C0:102
0x80,6657,05:276 07:228 06:222 1F:172 09:162 0F:148 08:145 3F:142
0x40,4881,00:412 03:317 02:280 FD:220 FC:186 04:173 0F:148 06:116
0x02,4503,00:772 07:226 C0:104 D0:72 F0:72 80:70 B0:70 E0:64
0x03,4486,00:149 F0:132 F5:126 F3:86 EF:86 F2:86 EE:84 F1:82
0xFF,4339,00:582 FF:468 80:122 C0:56 7F:54 BF:46 EF:46 02:43
0xC0,3894,03:206 0F:191 05:153 07:142 02:138 0B:137 01:116 06:114
0x20,3531,01:478 7E:340 02:214 80:138 03:124 7D:120 05:92 0F:86
0x04,3530,00:711 0F:592 20:90 1F:70 80:70 E0:64 60:64 C0:60
0x08,3475,00:744 1F:544 C0:96 40:80 01:73 20:68 80:58 3F:52
0xDC,3286,68:748 01:156 00:134 10:54 80:34 FC:32 B0:24 76:24
0xFB,3103,00:150 80:128 91:70 11:62 FB:46 FC:46 7F:40 FD:40
0xF7,3092,00:188 11:42 EF:40 FA:40 FB:38 FF:36 80:34 E3:34
0xDF,3085,9E:42 00:37 CF:36 7E:36 37:36 DF:34 B7:32 3F:32
0x07,3075,00:115 E4:72 E0:70 60:68 A0:66 C0:66 40:62 80:60
0x1F,3053,80:84 00:63 AE:48 91:44 DF:36 82:34 60:34 FF:32
0x7F,2999,C0:70 E0:56 00:55 BF:48 80:46 3E:40 B7:38 FF:38
0xE0,2990,01:258 03:140 07:120 02:118 05:109 40:108 0F:104 04:86
0xEF,2970,DF:46 DB:42 00:42 FF:40 B7:36 22:34 3C:34 D8:32
0xB0,2962,00:879 01:145 03:144 07:125 40:106 02:95 06:74 05:52
0x37,2952,1A:680 00:67 1F:26 CF:26 CB:24 90:22 3B:22 CC:22
0xFC,2935,00:238 01:92 80:52 11:40 10:36 91:36 F7:34 8B:34
0xE7,2930,00:42 B7:36 E7:34 BF:34 BE:32 D8:32 DC:30 2E:30
0x10,2926,00:464 3F:379 01:249 3E:162 40:104 80:80 02:63 03:46
0x1A,2922,34:720 30:658 33:386 00:87 80:44 91:22 02:22 DC:20
0x3F,2861,00:73 04:40 E0:38 C0:38 5C:36 20:32 FB:32 BF:28
0xBF,2809,22:42 A0:38 00:36 9E:36 CF:36 80:36 DF:36 F0:36
0x68,2803,D1:792 C3:674 00:150 03:100 01:66 20:46 02:40 05:23
0xFE,2797,00:144 80:90 FF:60 C2:40 FB:38 FC:38 08:38 E0:36
0x8D,2791,1A:1098 18:44 00:36 F4:32 F5:26 6F:24 F6:24 D2:24
0x7E,2789,00:134 BF:44 40:42 DF:42 08:40 48:38 80:38 A0:36
0xF9,2786,00:102 F7:42 FF:36 F6:36 A0:36 22:36 C0:34 E0:34
0xF0,2757,F6:400 00:195 01:175 07:123 03:108 02:93 06:80 40:78
0xF6,2736,8D:386 00:214 22:56 23:42 F9:40 FA:40 EB:34 FB:34
0xFD,2664,00:144 80:74 C0:54 FE:46 40:44 BE:42 C8:38 7F:36
0x0F,2634,C0:74 00:69 80:66 C5:46 40:44 D2:40 C8:40 C1:36
0x6F,2622,A0:36 9C:30 B7:30 62:30 3E:28 BF:28 00:26 3C:24
0xB7,2616,00:32 B7:32 C7:26 EB:26 C8:26 9C:26 BC:26 80:24
0x05,2613,00:145 80:118 A0:98 C0:90 40:82 E0:76 20:68 60:66
0xBE,2582,00:62 C0:48 80:38 7E:36 E2:34 DD:32 38:32 5D:30
0xF3,2575,C0:42 EF:34 80:34 40:32 D8:30 C7:28 7D:28 D7:28
0xC3,2561,0D:668 71:348 40:312 9F:18 00:18 F8:16 AC:16 E6:16
0xDB,2550,E7:36 00:31 6C:30 DF:26 6D:24 64:24 ED:24 B7:24
0x7D,2522,00:72 80:70 C0:58 BE:42 C8:38 F8:36 F7:34 BA:32
0x30,2480,C3:662 DC:348 02:91 00:84 01:75 03:73 40:63 07:57
0xBB,2426,00:53 64:36 6D:34 80:32 BB:26 1D:26 39:24 77:24
0xDE,2405,00:64 DF:32 C0:32 5F:30 E4:30 EF:26 C4:26 44:24
0x22,2396,00:139 80:118 7F:48 7B:44 11:42 FD:40 FB:34 7C:34
0xFA,2393,00:205 80:110 7C:42 FB:36 20:34 FD:34 11:34 E0:32
0x23,2391,00:144 80:84 7D:54 FD:46 91:42 FB:38 FF:34 7C:32
0xA0,2389,05:134 0F:128 07:123 03:122 02:118 06:116 0E:110 0D:84
0x11,2381,80:96 00:85 40:50 C0:44 85:40 BD:38 FE:36 BE:34
0x77,2370,DF:30 00:28 B7:26 C7:26 2E:24 AE:22 DB:22 6E:22
0x6E,2356,00:87 34:36 3F:24 DB:24 EF:22 E0:22 A0:22 91:22
0x7B,2351,00:85 F7:44 80:42 11:34 7D:34 77:34 7B:30 F6:30
