opcode_hex,value_hex,in_opcode_stream,in_resources,product_score
0x01,0x00B0,976,159489,155661264
0x00,0xB001,1052,94469,99381388
0x00,0x0100,560,161000,90160000
0x00,0x0002,524,129436,67824464
0xB0,0x0002,42,129436,5436312
0xFF,0x00FF,282,5944,1676208
0x10,0x0002,6,129436,776616
0x01,0x0100,4,161000,644000
0xDB,0x00B0,4,159489,637956
0x20,0x0002,4,129436,517744
0xE7,0x0002,4,129436,517744
0xFF,0x0002,4,129436,517744
0x0F,0x0001,4,98748,394992
0xDB,0x0001,4,98748,394992
0x00,0x0200,492,778,382776
0x80,0xB001,4,94469,377876
0x00,0x0040,8,43706,349648
0x00,0x4900,244,1168,284992
0xB0,0x0003,10,21763,217630
0xC0,0x0004,10,21139,211390
0x00,0x0068,14,13931,195034
0x00,0x00A0,5,35749,178745
0x40,0x0003,6,21763,130578
0x00,0x000B,18,6800,122400
0x00,0x1000,47,2496,117312
0x10,0x0240,4,27757,111028
0xC0,0x0240,4,27757,111028
0x00,0x3000,56,1872,104832
0x00,0x005A,16,6184,98944
0x00,0xB000,55,1736,95480
0x01,0x2020,4,23477,93908
0x80,0x0004,4,21139,84556
0xB7,0x0004,4,21139,84556
0x00,0xD000,69,1206,83214
0x80,0x0034,6,13181,79086
0x80,0x0010,8,9598,76784
0x00,0x7000,43,1770,76110
0x01,0x02B0,38,1987,75506
0x00,0x004A,18,3965,71370
0x00,0x001A,8,8437,67496
0x00,0x0070,30,2229,66870
0x00,0x9000,58,1128,65424
0x00,0x01D8,22,2896,63712
0x00,0x007C,30,2025,60750
0x40,0x0008,4,14926,59704
0xC0,0x0008,4,14926,59704
0x6E,0x0008,4,14926,59704
0x00,0x5000,50,1187,59350
0x00,0x0050,18,3268,58824
0x00,0x003E,16,3606,57696
0x00,0x01B8,22,2579,56738
0x00,0x0030,12,4694,56328
0x00,0x01C0,20,2680,53600
0x00,0x0021,16,3341,53456
0x00,0x0034,4,13181,52724
0x00,0x002F,18,2910,52380
0x00,0x002C,14,3720,52080
0xB6,0x0080,4,12279,49116
0x1F,0x0005,4,12230,48920
0xC0,0x0005,4,12230,48920
0x00,0x01B0,19,2469,46911
0x00,0x003D,14,3249,45486
0x02,0x0780,10,4527,45270
0x03,0x0780,10,4527,45270
0x00,0x0037,14,3233,45262
0x80,0x0006,4,11194,44776
0x40,0x0006,4,11194,44776
0x00,0x004C,10,4456,44560
0x00,0x004E,10,4332,43320
0x00,0x0076,20,2155,43100
0x00,0x0024,12,3550,42600
0x00,0x0046,8,5295,42360
0x20,0x0680,12,3502,42024
0x00,0x01F0,16,2610,41760
0x00,0x0048,10,4171,41710
0x00,0x0580,11,3788,41668
0x00,0x002D,12,3461,41532
0x00,0x0022,10,4061,40610
0x80,0x0038,10,4014,40140
0x00,0x005E,10,3990,39900
0x00,0x003A,10,3988,39880
0x00,0x007E,26,1528,39728
0x01,0x03D0,16,2467,39472
0x00,0x0014,8,4916,39328
0x00,0x01DC,16,2451,39216
0x00,0x003F,12,3255,39060
0x80,0x003F,12,3255,39060
0x00,0x01B4,24,1600,38400
0xC0,0x0010,4,9598,38392
0x00,0x0042,10,3834,38340
0x80,0x0012,8,4748,37984
0xB0,0x0340,8,4701,37608
0x00,0x002B,12,3127,37524
0x00,0x0044,8,4675,37400
0x01,0x03C0,12,3111,37332
0x00,0x0074,16,2271,36336
0x00,0x000A,4,8899,35596
0x80,0x000A,4,8899,35596
0x80,0x0007,4,8754,35016
0x10,0x0007,4,8754,35016
0x00,0x01A8,18,1942,34956
0x00,0x0033,10,3491,34910
0x00,0x0062,22,1574,34628
0x00,0x0016,8,4321,34568
0x40,0x0016,8,4321,34568
0x40,0x001A,4,8437,33748
0xC0,0x001A,4,8437,33748
0x40,0x001E,10,3332,33320
0x00,0x00B4,6,5547,33282
0x00,0x0020,10,3328,33280
0x00,0x003B,10,3317,33170
0x01,0x0370,12,2762,33144
0x00,0x0035,10,3307,33070
0x00,0x0029,12,2680,32160
0x00,0x0054,12,2678,32136
0xC0,0x001C,8,4012,32096
0x00,0x0060,14,2256,31584
0x00,0x0031,10,3140,31400
0x00,0x01F8,18,1740,31320
0x03,0x07D0,12,2557,30684
0x00,0x0013,8,3834,30672
0x80,0x002A,10,3052,30520
0xC0,0x0580,8,3788,30304
0x00,0x01E4,10,2948,29480
0x00,0x8000,16,1828,29248
0x00,0x0078,16,1828,29248
0x01,0x0A00,12,2432,29184
0x20,0x000C,4,7281,29124
0xC0,0x000C,4,7281,29124
0x80,0x003C,8,3628,29024
0x80,0x003E,8,3606,28848
0x00,0x006C,14,2039,28546
0x00,0x002E,8,3562,28496
0x40,0x0012,6,4748,28488
0x00,0xE000,19,1491,28329
0x6E,0x0340,6,4701,28206
0x00,0x0056,10,2809,28090
0x40,0x0680,8,3502,28016
0x80,0x0033,8,3491,27928
0x00,0x0052,12,2304,27648
0x80,0x0039,8,3412,27296
0x40,0x3F10,6,4543,27258
0x40,0x0F04,4,6809,27236
0xC0,0x000B,4,6800,27200
0x00,0x0058,8,3372,26976
0x01,0x0280,12,2236,26832
0x00,0x0036,8,3351,26808
0x00,0x0026,10,2680,26800
0x20,0x7E20,6,4465,26790
0xB0,0x7E20,6,4465,26790
0x00,0x001E,8,3332,26656
0x80,0x0032,8,3331,26648
0x80,0x0035,8,3307,26456
0x10,0x0120,4,6545,26180
0xB7,0x0120,4,6545,26180
0x40,0x0120,4,6545,26180
0xC0,0x0120,4,6545,26180
0x01,0x0350,10,2611,26110
0x80,0x003D,8,3249,25992
0x80,0x001F,8,3238,25904
0x80,0x0031,8,3140,25120
0x80,0x1F08,4,6268,25072
0x00,0x0015,8,3133,25064
0x00,0x00F0,8,3126,25008
0xB0,0x0200,32,778,24896
0x00,0xE049,13,1893,24609
0x00,0xC000,18,1360,24480
0x02,0x1700,12,2036,24432
0x80,0x0022,6,4061,24366
0x03,0x07A0,8,3041,24328
0x00,0x0072,14,1718,24052
0x00,0x4000,14,1707,23898
0x00,0x2000,16,1489,23824
0x00,0x0066,16,1454,23264
0x00,0x0064,12,1922,23064
0x80,0x0013,6,3834,23004
0x00,0x000E,4,5723,22892
0x80,0x000E,4,5723,22892
0x80,0x001D,6,3781,22686
0xC0,0x001D,6,3781,22686
0x80,0x0017,8,2821,22568
0x00,0xE349,15,1496,22440
0xB6,0x00B4,4,5547,22188
0x6E,0x0370,8,2762,22096
0x00,0x003C,6,3628,21768
0x00,0x6000,13,1669,21697
0x01,0x0368,12,1804,21648
0x80,0x0029,8,2680,21440
0x01,0x0F00,6,3554,21324
0x1F,0x0782,6,3503,21018
0x01,0x03B0,8,2613,20904
0x00,0x01BC,12,1736,20832
0x00,0x01A0,12,1713,20556
0x00,0x0039,6,3412,20472
0x02,0x07D0,8,2557,20456
0x00,0x0028,6,3409,20454
0x07,0x0FA0,8,2552,20416
0x01,0x03D8,12,1682,20184
0x03,0x07B0,8,2514,20112
0x01,0x03F0,12,1673,20076
0x80,0x003B,6,3317,19902
0x00,0x01EC,10,1989,19890
0x01,0x0380,10,1961,19610
0x00,0x01E0,6,3262,19572
0x00,0xA000,19,1022,19418
0x80,0x0037,6,3233,19398
0x00,0x0198,14,1385,19390
0x02,0x1500,8,2401,19208
0x00,0x0012,4,4748,18992
0x00,0x00F4,6,3161,18966
0x20,0x0340,4,4701,18804
0x40,0x0340,4,4701,18804
0xC0,0x0340,4,4701,18804
0x00,0x01A4,14,1342,18788
0x80,0x0030,4,4694,18776
0x80,0x002B,6,3127,18762
0xB0,0x4900,16,1168,18688
0x02,0x0770,8,2324,18592
0x00,0x006A,12,1530,18360
0x00,0x01FC,14,1301,18214
0x00,0x3F10,4,4543,18172
0x10,0x3F10,4,4543,18172
0xC0,0x3F10,4,4543,18172
0x00,0x0025,6,3022,18132
0x40,0x0780,4,4527,18108
0xC0,0x0780,4,4527,18108
0x02,0x0220,6,2997,17982
0x07,0x0FE0,8,2244,17952
0x00,0x006E,10,1793,17930
0x02,0x0790,6,2980,17880
0x80,0x7E20,4,4465,17860
0x40,0x7E20,4,4465,17860
0x03,0x06C0,10,1778,17780
0x1F,0x0082,4,4379,17516
0x00,0x01D4,10,1741,17410
0x80,0x0016,4,4321,17284
0x00,0x0188,14,1234,17276
0x00,0x0190,10,1703,17030
0x00,0x0017,6,2821,16926
0x40,0x0017,6,2821,16926
0x03,0x0750,8,2105,16840
0x03,0x0760,6,2706,16236
0xF3,0x0038,4,4014,16056
0x00,0x001C,4,4012,16048
0x40,0x001C,4,4012,16048
0xFF,0x001C,4,4012,16048
0x80,0x003A,4,3988,15952
0xB0,0x0440,6,2640,15840
0x02,0x06E0,4,3907,15628
0xB6,0x06E0,4,3907,15628
0x00,0x0088,6,2600,15600
0x01,0x01D0,6,2600,15600
0xC0,0x2D00,6,2589,15534
0x80,0x0042,4,3834,15336
0xC0,0x0042,4,3834,15336
0xC0,0x0013,4,3834,15336
0x02,0x1600,6,2551,15306
0x80,0x0011,4,3819,15276
0x01,0x03B8,8,1905,15240
0x02,0x1F00,4,3788,15152
0x20,0x0580,4,3788,15152
0x02,0x0310,10,1515,15150
0x01,0x0B00,6,2514,15084
0x00,0x01AC,12,1242,14904
0x80,0x002C,4,3720,14880
0x01,0x01B0,6,2469,14814
0x01,0x03E8,8,1839,14712
0x01,0x0348,8,1838,14704
0x00,0x007A,8,1825,14600
0x00,0x01F4,8,1824,14592
0x00,0xE149,9,1594,14346
0x80,0x002E,4,3562,14248
0x1F,0x0F00,4,3554,14216
0x80,0x0024,4,3550,14200
0x01,0x0330,8,1767,14136
0x40,0x008E,6,2352,14112
0xFF,0x0782,4,3503,14012
0x02,0x0680,4,3502,14008
0x80,0x0680,4,3502,14008
0x5B,0x0320,6,2326,13956
0x00,0x0180,12,1161,13932
0x10,0xB000,8,1736,13888
0x49,0x002D,4,3461,13844
0x00,0x01C8,8,1729,13832
0x00,0x00EC,4,3455,13820
0xE7,0x00EC,4,3455,13820
0x40,0x0018,4,3440,13760
0xC0,0x0018,4,3440,13760
0x02,0x1C00,6,2281,13686
0x6D,0x0F80,4,3393,13572
0x02,0x1A00,6,2246,13476
0x0F,0x1F80,4,3357,13428
0xB6,0x1F80,4,3357,13428
0x03,0x0700,8,1678,13424
0x07,0x00EA,6,2221,13326
0x00,0x8016,14,950,13300
0xF3,0x00EE,4,3320,13280
0xDB,0x003B,4,3317,13268
0x5B,0x00DA,4,3254,13016
0xFF,0x00DA,4,3254,13016
0x00,0x001F,4,3238,12952
0x40,0x001F,4,3238,12952
0x02,0x0600,8,1610,12880
0x01,0x0390,8,1602,12816
0x20,0x6801,10,1265,12650
0x5B,0x00F4,4,3161,12644
0x00,0xE249,7,1797,12579
0x80,0x0015,4,3133,12532
0x02,0x1400,6,2087,12522
0x5B,0x00F0,4,3126,12504
0xFF,0x00F0,4,3126,12504
0x03,0x02A0,6,2080,12480
0xE7,0x03C0,4,3111,12444
0x6E,0x03C0,4,3111,12444
0x02,0x0230,8,1553,12424
0x07,0x0FC0,4,3080,12320
0x1F,0x0090,6,2044,12264
0x02,0x1E00,4,3064,12256
0x0F,0x1E00,4,3064,12256
0x01,0x0360,4,3045,12180
0xB7,0x0360,4,3045,12180
0xE7,0x00FA,4,3030,12120
0x03,0x0560,6,2018,12108
0x01,0x0270,6,2017,12102
0x02,0x07C0,4,3020,12080
0x03,0x07C0,4,3020,12080
0x00,0xE449,9,1334,12006
0x40,0x0019,4,2998,11992
0xB6,0x0220,4,2997,11988
0x6E,0x0220,4,2997,11988
0x00,0x01CC,12,991,11892
0xB0,0x01E4,4,2948,11792
0x10,0xAB00,8,1470,11760
0x02,0xEA07,16,729,11664
0xDB,0x00B8,6,1938,11628
0x80,0x0880,6,1934,11604
0x6D,0x0F60,6,1921,11526
0x0F,0x1B40,8,1424,11392
0x03,0x0670,8,1417,11336
0xC0,0x0017,4,2821,11284
0x01,0x0358,6,1878,11268
0x01,0x02C8,10,1123,11230
0x01,0x03F8,10,1115,11150
0x02,0x07E0,4,2774,11096
0xFF,0x07E0,4,2774,11096
0x00,0x01C4,12,917,11004
0x03,0x0740,4,2751,11004
0x40,0x7C00,4,2734,10936
0x01,0x0138,6,1818,10908
0xB7,0x0124,6,1816,10896
0x00,0x0027,4,2682,10728
0x01,0x01C0,4,2680,10720
0x80,0x0026,4,2680,10720
0x01,0x0054,4,2678,10712
0x03,0x06B0,8,1336,10688
0x80,0xE007,10,1068,10680
0x00,0x00AC,6,1779,10674
0x20,0x0440,4,2640,10560
0x0F,0x1D00,4,2627,10508
0x6E,0x1D00,4,2627,10508
0x00,0x01E8,4,2614,10456
0xB0,0x0350,4,2611,10444
0x5B,0x0350,4,2611,10444
0x02,0x1800,4,2601,10404
0xFF,0x1800,4,2601,10404
0x00,0x01D0,4,2600,10400
0x01,0x01B8,4,2579,10316
0x6D,0x0FA0,4,2552,10208
0x01,0x0E00,4,2550,10200
0x6D,0x0C00,4,2531,10124
0x01,0x0114,4,2515,10060
0x02,0x07B0,4,2514,10056
0x20,0x07B0,4,2514,10056
0xB7,0x0B00,4,2514,10056
0xEF,0x00DC,4,2509,10036
0x20,0x8001,8,1250,10000
0x01,0x00E8,4,2490,9960
0x07,0x00E8,4,2490,9960
0x01,0x0398,12,829,9948
0xE7,0x3A00,4,2475,9900
0xEF,0x3A00,4,2475,9900
0xF3,0x01DC,4,2451,9804
0x20,0x5001,8,1225,9800
0x01,0x03A0,4,2436,9744
0x02,0x03A0,4,2436,9744
0x10,0xBF00,10,969,9690
0x07,0x0CC0,6,1605,9630
0x01,0x03E0,4,2395,9580
