opcode_hex,count,top_followers
0x00,19108,00:9633 01:571 FF:330 02:280 49:274 B0:109 F0:99 70:95
0x01,3627,B0:584 00:172 F7:52 68:52 E7:50 D0:44 03:42 FF:40
0x80,3011,07:138 00:94 0F:90 05:89 06:88 1F:82 16:64 3E:60
0x02,2406,00:487 07:54 DB:34 9B:34 D0:32 80:30 CE:30 10:30
0x03,2313,00:121 EF:46 F5:38 EE:38 D0:38 F1:32 F0:30 BE:30
0x40,2292,03:103 00:92 02:72 0F:72 04:58 1F:56 1E:54 FC:54
0xB0,2241,00:560 03:83 01:73 02:48 05:42 06:38 07:34 40:24
0xFF,2209,00:336 FF:294 80:36 BF:26 FB:26 7F:24 3E:24 9F:22
0xC0,1941,03:96 0F:76 01:58 07:58 05:56 0E:52 1D:48 0C:48
0x6E,1808,00:43 70:24 5B:22 6C:22 80:20 52:18 BF:18 D0:18
0xDB,1800,C0:34 80:20 69:18 85:16 E7:16 CF:16 8F:16 B6:16
0xE7,1778,00:35 40:20 62:20 97:20 D8:18 BE:18 C8:18 38:18
0x5B,1770,20:24 F4:20 56:20 D6:18 CD:18 96:18 7A:18 5B:18
0x20,1767,01:140 7E:130 02:60 0F:54 80:38 03:37 0E:36 05:32
0xB7,1767,00:24 B7:22 DB:20 24:18 9E:18 47:18 CE:18 91:18
0xB6,1691,00:41 4D:24 80:22 A4:20 DB:20 9B:20 7E:18 9C:16
0x07,1651,E0:40 EA:28 C0:28 FF:28 9F:26 60:24 37:24 B7:22
0x10,1648,00:172 3F:122 01:86 3E:48 03:35 BF:32 80:30 40:30
0xEF,1643,00:28 97:24 7E:22 B7:22 D8:20 BF:18 F1:18 E7:18
0x1F,1636,00:35 80:24 8B:24 FF:24 FD:20 43:18 25:18 7D:18
0x6D,1628,00:34 F3:20 85:20 60:20 40:20 45:18 1D:18 A5:18
0x0F,1620,00:35 80:32 7E:28 C8:24 6E:20 48:18 CD:18 6F:18
0x49,1619,F2:136 F3:114 F1:92 E3:32 E1:28 E0:28 2D:26 E4:24
0xF3,1615,DB:22 9F:20 BB:18 8F:18 80:18 00:18 D0:18 92:16
0x96,1600,59:34 17:24 54:22 37:22 4B:22 52:22 DA:20 00:20
