opcode_hex,value_hex,in_opcode_stream,in_resources,product_score
0x01,0x00B0,516,159489,82296324
0x00,0xB001,540,94469,51013260
0x00,0x0100,280,161000,45080000
0x00,0x0002,272,129436,35206592
0xDC,0xD168,160,124117,19858720
0x37,0x341A,160,101027,16164320
0x1A,0x6834,160,100043,16006880
0x68,0xA3D1,160,88743,14198880
0x68,0x0DC3,160,83837,13413920
0x8D,0x301A,160,73368,11738880
0x0D,0x8DC6,160,71433,11429280
0x1A,0xC330,160,63760,10201600
0xA3,0x370C,160,59393,9502880
0xC3,0xC60D,160,54258,8681280
0x30,0x71C3,80,57656,4612480
0x30,0x68DC,80,54486,4358880
0xC3,0x0040,80,43706,3496480
0xA3,0x8C46,80,28445,2275600
0xC3,0xA371,80,26338,2107040
0x8D,0x331A,80,26056,2084480
0xB0,0x0002,8,129436,1035488
0xFF,0x00FF,140,5944,832160
0x30,0x40C3,160,3595,575200
0x00,0x0200,260,778,202280
0x00,0x4900,130,1168,151840
0xB6,0x0080,6,12279,73674
0x1A,0x6633,80,806,64480
0x00,0x7000,34,1770,60180
0x00,0x3000,32,1872,59904
0x00,0x1000,24,2496,59904
0x00,0x9000,37,1128,41736
0x80,0x0016,8,4321,34568
0x00,0x5000,28,1187,33236
0x00,0xB000,19,1736,32984
0x00,0x005C,8,4110,32880
0x00,0xD000,26,1206,31356
0x00,0x0035,8,3307,26456
0x00,0x0050,8,3268,26144
0x02,0x0220,8,2997,23976
0x80,0x0013,6,3834,23004
0x00,0x0060,10,2256,22560
0x00,0x0056,8,2809,22472
0x00,0x003E,6,3606,21636
0x00,0x002E,6,3562,21372
0x00,0x0018,6,3440,20640
0x00,0x0037,6,3233,19398
0x00,0x0031,6,3140,18840
0x00,0x0044,4,4675,18700
0x00,0x0078,10,1828,18280
0x03,0x0790,6,2980,17880
0x00,0x004C,4,4456,17824
0x00,0x004E,4,4332,17328
0x00,0x0022,4,4061,16244
0x00,0x0029,6,2680,16080
0x40,0x001C,4,4012,16048
0x00,0x005E,4,3990,15960
0x01,0x02B0,8,1987,15896
0x00,0x4000,9,1707,15363
0x00,0x0013,4,3834,15336
0x80,0x0580,4,3788,15152
0x00,0xE000,10,1491,14910
0x40,0x0680,4,3502,14008
0x80,0x002D,4,3461,13844
0x00,0x0058,4,3372,13488
0x00,0x0036,4,3351,13404
0x00,0x003B,4,3317,13268
0x00,0x01E0,4,3262,13048
0x00,0x003F,4,3255,13020
0x80,0x0015,4,3133,12532
0x01,0x03C0,4,3111,12444
0x03,0x07A0,4,3041,12164
0x03,0x07C0,4,3020,12080
0x00,0x01EC,6,1989,11934
0x00,0x01D8,4,2896,11584
0x5B,0x0043,4,2843,11372
0x00,0x006E,6,1793,10758
0x00,0x01C0,4,2680,10720
0x00,0x0054,4,2678,10712
0xB6,0x1680,4,2659,10636
0x00,0x2000,7,1489,10423
0x00,0x0088,4,2600,10400
0x03,0x07D0,4,2557,10228
0xFF,0x07D0,4,2557,10228
0x02,0x1500,4,2401,9604
0xB0,0x0200,12,778,9336
0x00,0x007E,6,1528,9168
0xDC,0x3E10,4,2242,8968
0x01,0x0280,4,2236,8944
0x8D,0x00EA,4,2221,8884
0xFF,0x00EA,4,2221,8884
0x01,0x0338,6,1401,8406
0x02,0x1B00,4,2085,8340
0x00,0xC000,6,1360,8160
0x00,0x007C,4,2025,8100
0x00,0x01FC,6,1301,7806
0x00,0x00B8,4,1938,7752
0x00,0x0064,4,1922,7688
0x01,0x03B8,4,1905,7620
0x02,0x1900,4,1854,7416
0x01,0x03E8,4,1839,7356
0x00,0x007A,4,1825,7300
0x00,0xA000,7,1022,7154
0xB0,0x4900,6,1168,7008
0x00,0x01F8,4,1740,6960
0x00,0x0072,4,1718,6872
0x03,0x0720,4,1679,6716
0x01,0x03F0,4,1673,6692
0x00,0x6000,4,1669,6676
0x01,0x0230,4,1553,6212
0x00,0x0066,4,1454,5816
0x00,0x00E7,4,1417,5668
0x03,0x80B6,4,1400,5600
0x00,0x0198,4,1385,5540
0x02,0x8046,4,1342,5368
0x80,0x8013,8,662,5296
0x00,0x0188,4,1234,4936
0x02,0x0730,4,1207,4828
0x00,0xE149,3,1594,4782
0x00,0x0310,3,1515,4545
0x00,0x4664,4,1045,4180
0x00,0x01CC,4,991,3964
0x40,0x80C6,4,972,3888
0xDB,0x5296,4,972,3888
0x30,0xB425,4,961,3844
0x00,0x01C4,4,917,3668
0xB6,0xA525,4,909,3636
0x00,0x801D,4,882,3528
0x5B,0x4023,4,881,3524
0x80,0x6005,4,880,3520
0x80,0x405B,4,865,3460
0x6D,0x876E,4,853,3412
0x00,0x0860,4,808,3232
0x40,0x40FD,4,808,3232
0xB0,0x4073,4,774,3096
0x00,0x223A,6,509,3054
0x00,0xDFEF,4,728,2912
0x00,0x05F0,3,961,2883
0x80,0x80A6,4,699,2796
0x01,0x0208,4,671,2684
0x80,0x111D,4,647,2588
0x0D,0x1A18,4,637,2548
0x40,0x1F03,4,621,2484
0x80,0x2337,4,602,2408
0xDB,0xB2D4,4,600,2400
0x00,0x1090,4,595,2380
0x80,0x8009,4,581,2324
0x00,0xEC6B,4,559,2236
0x01,0x20E0,4,559,2236
0x80,0xD116,4,538,2152
0x40,0x480F,4,538,2152
0x6D,0x0319,4,532,2128
0x00,0x8AFC,4,524,2096
0x37,0xB436,4,519,2076
0x00,0xD6B0,3,666,1998
0xA3,0x1AC3,4,492,1968
0x00,0xCF6D,4,482,1928
0x00,0xEED7,4,480,1920
0xDB,0xE3CC,4,465,1860
0x6D,0x1BDF,4,452,1808
0x00,0xDCF9,4,449,1796
0x6C,0x6ACA,4,449,1796
0xDC,0x76CC,4,431,1724
0x00,0x0866,6,285,1710
0x40,0xB41F,4,414,1656
0x01,0x2018,4,404,1616
0xC3,0xAD21,4,399,1596
0x80,0x043F,4,393,1572
0x00,0x601D,4,373,1492
0x00,0x4670,3,471,1413
0x8D,0xED91,4,321,1284
0x00,0x8990,4,318,1272
0x01,0x49B0,4,314,1256
0x68,0x4BF6,4,295,1180
0x40,0x9A0F,4,286,1144
0x80,0xA0FD,4,279,1116
0x30,0xBA07,4,265,1060
0x03,0x3ED2,4,261,1044
0x6D,0xE685,4,261,1044
0x00,0xEB30,3,333,999
0x6D,0xED7A,4,249,996
0x6D,0x7CA4,4,243,972
0x00,0x683D,4,235,940
0x80,0x9C2C,4,232,928
0x80,0x7B15,4,229,916
0x37,0xD909,4,226,904
0x00,0x2F7C,4,225,900
0x8D,0xAFF5,4,202,808
0x80,0x821E,4,193,772
0x00,0xCE70,3,249,747
0x00,0xED65,4,147,588
0x00,0x07F5,4,142,568
0x49,0xEBF1,4,85,340
