opcode_hex,count,top_followers
0x00,8413,00:5563 01:282 FF:160 49:146 02:140 90:46 50:39 70:38
0x01,1135,B0:286 00:153 F0:20 E8:16 D7:16 6B:14 30:12 FF:12
0x1A,846,34:168 30:162 33:80 00:12 DD:10 02:8 DE:8 D5:8
0x80,842,00:36 07:36 16:28 1D:28 09:24 1E:24 05:24 0F:24
0xB0,807,00:283 01:19 02:18 03:9 05:8 30:8 B2:6 99:6
0x40,759,00:112 0F:30 03:20 FD:20 1C:16 04:14 1F:14 0D:13
0xA3,737,0C:162 46:82 5A:10 6C:10 64:8 24:8 38:8 A3:6
0x68,736,C3:164 D1:160 00:23 D7:8 20:8 03:8 01:7 DA:6
0x8D,725,1A:240 48:12 A1:10 93:8 B6:8 DB:8 60:6 DD:6
0x02,725,00:165 20:14 80:12 C0:10 AE:8 1A:8 E0:8 9F:8
0x49,721,F0:104 F1:78 F2:42 F3:12 F4:10 90:10 12:8 6B:8
0xC3,711,0D:160 71:80 40:80 52:10 32:10 43:8 9A:8 C6:8
0xB6,698,80:18 D9:14 8C:12 EA:10 42:10 DB:10 95:10 00:10
0x30,678,C3:161 DC:80 01:15 03:14 02:11 07:11 05:10 A6:8
0x6D,670,1A:12 40:10 90:10 76:10 A4:10 B3:10 99:8 CC:8
0xFF,669,00:157 FF:144 EC:8 BB:8 92:6 D0:6 DC:6 7D:6
0xDB,660,29:12 52:10 46:10 69:10 9B:10 AF:8 64:8 80:8
0xB2,645,6D:12 87:12 49:10 CA:10 DC:8 97:8 4A:8 48:8
0xDC,644,68:160 00:18 01:10 95:8 8B:8 8F:8 92:8 B9:6
0x6C,641,44:14 2E:12 96:12 B2:12 00:10 2B:8 5D:8 92:8
0x03,640,59:14 F5:14 D2:10 1A:8 1F:8 8E:8 A1:8 5F:8
0x0D,630,C6:162 B7:10 A3:10 80:10 00:8 C4:8 B1:8 6E:8
0x37,627,1A:160 23:10 00:8 38:8 37:8 09:8 36:8 8B:8
0x5B,623,94:12 43:10 B5:10 0B:10 36:10 56:10 28:10 4D:8
0xA5,615,94:14 43:14 B6:12 DA:12 87:8 E3:8 B7:8 1E:8
0x2D,614,2E:12 87:10 94:10 AA:10 DA:8 3E:8 5A:8 7E:8
0x96,613,DD:10 51:10 24:10 A4:10 C9:10 E1:8 96:8 C3:8
0xCB,607,46:12 61:12 25:10 4A:10 8D:8 0A:8 6D:8 C4:8
0x90,594,07:24 FA:15 A2:12 02:12 DB:11 3A:10 40:10 9B:10
0x52,593,D2:12 ED:10 A0:10 14:8 DB:8 A2:8 C9:8 E6:8
0x64,591,85:18 00:10 A9:8 29:8 90:8 2A:8 B4:8 B7:8
0x2C,587,A5:12 A9:12 90:10 01:10 B0:8 AA:8 C3:8 26:8
0xB7,583,73:14 43:12 33:10 9E:10 32:10 CE:8 CA:8 BE:6
0x6E,581,00:11 BE:10 97:8 BA:8 9B:8 5B:8 D9:8 6F:8
0x66,576,DC:82 00:10 99:10 E5:8 EC:8 48:8 64:8 42:8
0x4B,576,83:12 64:10 21:10 65:10 4C:10 51:10 48:10 5A:8
0xE7,572,8E:10 60:10 E9:8 B0:8 F3:8 24:8 C0:8 70:6
0x07,569,B7:10 CD:8 40:8 DD:8 D8:8 E2:8 E0:8 64:8
