seg_start_hex	seg_end_hex	run_offset_hex	run_size	jp	kana	punct	score	text
0x50	0xF0	0x10	8	1	1	0	69.30	GｿﾕT]ト%
0x50	0xF0	0x50	8	1	1	0	69.30	GｿﾕT]ト%
0xF0	0x190	0x5	8	1	1	0	69.30	GｿﾕT]ト%
0xF0	0x190	0x45	8	1	1	0	69.30	GｿﾕT]ト%
0x190	0x270	0x5	9	1	1	0	69.30	GｿﾕT]ト%ﾟ
0x190	0x270	0x65	9	1	1	0	69.30	GｿﾕT]ト%ﾟ
0x8F0	0x990	0x5	8	1	1	0	69.30	GｿﾕT]ト%
0x8F0	0x990	0x45	8	1	1	0	69.30	GｿﾕT]ト%
0x990	0xA30	0x5	8	1	1	0	69.30	GｿﾕT]ト%
0x990	0xA30	0x45	8	1	1	0	69.30	GｿﾕT]ト%
0xA30	0xAD0	0x5	8	1	1	0	69.30	GｿﾕT]ト%
0xA30	0xAD0	0x45	8	1	1	0	69.30	GｿﾕT]ト%
0xAD0	0xB70	0x5	8	1	1	0	69.30	GｿﾕT]ト%
0xAD0	0xB70	0x45	8	1	1	0	69.30	GｿﾕT]ト%
0xB70	0xC30	0x5	9	1	1	0	69.30	GｿﾕT]ト%ﾟ
0xB70	0xC30	0x55	9	1	1	0	69.30	GｿﾕT]ト%ﾟ
0x1390	0x1450	0x29	7	1	1	0	69.30	ﾕT]トｧ
0x1390	0x1450	0x79	7	1	1	0	69.30	ﾕT]トｧ
0x1450	0x14F0	0x5	8	1	1	0	69.30	GｿﾕT]ト%
0x1450	0x14F0	0x45	8	1	1	0	69.30	GｿﾕT]ト%
0x14F0	0x1590	0x5	8	1	1	0	69.30	GｿﾕT]ト%
0x14F0	0x1590	0x45	8	1	1	0	69.30	GｿﾕT]ト%
0x1590	0x1630	0x5	8	1	1	0	69.30	GｿﾕT]ト%
0x1590	0x1630	0x45	8	1	1	0	69.30	GｿﾕT]ト%
0x1630	0x16D0	0x5	8	1	1	0	69.30	GｿﾕT]ト%
0x1630	0x16D0	0x45	8	1	1	0	69.30	GｿﾕT]ト%
0x16D0	0x1790	0x5	8	1	1	0	69.30	GｿﾕT]ト%
0x16D0	0x1790	0x55	8	1	1	0	69.30	GｿﾕT]ト%
0x21D0	0x2270	0x5	8	1	1	0	69.30	GｿﾕT]ト%
0x21D0	0x2270	0x45	8	1	1	0	69.30	GｿﾕT]ト%
0x2270	0x2310	0x5	8	1	1	0	69.30	GｿﾕT]ト%
0x2270	0x2310	0x45	8	1	1	0	69.30	GｿﾕT]ト%
0x2310	0x23B0	0x5	8	1	1	0	69.30	GｿﾕT]ト%
0x2310	0x23B0	0x45	8	1	1	0	69.30	GｿﾕT]ト%
0x23B0	0x2450	0x5	8	1	1	0	69.30	GｿﾕT]ト%
0x23B0	0x2450	0x45	8	1	1	0	69.30	GｿﾕT]ト%
0x2450	0x2510	0x5	8	1	1	0	69.30	GｿﾕT]ト%
0x2450	0x2510	0x55	8	1	1	0	69.30	GｿﾕT]ト%
0x3510	0x35B0	0x5	8	1	1	0	69.30	GｿﾕT]ト%
0x3510	0x35B0	0x45	8	1	1	0	69.30	GｿﾕT]ト%
0x35B0	0x3650	0x5	8	1	1	0	69.30	GｿﾕT]ト%
0x35B0	0x3650	0x45	8	1	1	0	69.30	GｿﾕT]ト%
0x3650	0x36F0	0x5	8	1	1	0	69.30	GｿﾕT]ト%
0x3650	0x36F0	0x45	8	1	1	0	69.30	GｿﾕT]ト%
0x36F0	0x3790	0x5	8	1	1	0	69.30	GｿﾕT]ト%
0x36F0	0x3790	0x45	8	1	1	0	69.30	GｿﾕT]ト%
0x3790	0x3850	0x5	8	1	1	0	69.30	GｿﾕT]ト%
0x3790	0x3850	0x55	8	1	1	0	69.30	GｿﾕT]ト%
0x4210	0x46F0	0x29	17	1	1	0	69.30	ﾝ･BbB ゴﾅ>p'ﾌoQｻ
0x4210	0x46F0	0x73	18	1	1	0	69.30	ﾐ ﾎ.%P!ﾑﾛ｡｡｡コﾌ
0x4210	0x46F0	0x289	17	1	1	0	69.30	ﾝ･BbB ゴﾅ>p'ﾌoQｻ
