seg_start_hex	seg_end_hex	run_offset_hex	run_size	jp	kana	punct	score	text
0x50	0xF0	0x5	8	1	1	0	69.30	GｿﾕT]ト%
0x50	0xF0	0x45	8	1	1	0	69.30	GｿﾕT]ト%
0xF0	0x190	0x5	8	1	1	0	69.30	GｿﾕT]ト%
0xF0	0x190	0x45	8	1	1	0	69.30	GｿﾕT]ト%
0x190	0x230	0x5	8	1	1	0	69.30	GｿﾕT]ト%
0x190	0x230	0x45	8	1	1	0	69.30	GｿﾕT]ト%
0x230	0x2D0	0x5	8	1	1	0	69.30	GｿﾕT]ト%
0x230	0x2D0	0x45	8	1	1	0	69.30	GｿﾕT]ト%
0x2D0	0x370	0x5	8	1	1	0	69.30	GｿﾕT]ト%
0x2D0	0x370	0x45	8	1	1	0	69.30	GｿﾕT]ト%
0x370	0x410	0x5	8	1	1	0	69.30	GｿﾕT]ト%
0x370	0x410	0x45	8	1	1	0	69.30	GｿﾕT]ト%
0x410	0x4B0	0x5	8	1	1	0	69.30	GｿﾕT]ト%
0x410	0x4B0	0x45	8	1	1	0	69.30	GｿﾕT]ト%
0x4B0	0x550	0x5	8	1	1	0	69.30	GｿﾕT]ト%
0x4B0	0x550	0x45	8	1	1	0	69.30	GｿﾕT]ト%
0x550	0x5F0	0x5	8	1	1	0	69.30	GｿﾕT]ト%
0x550	0x5F0	0x45	8	1	1	0	69.30	GｿﾕT]ト%
0x5F0	0x690	0x5	8	1	1	0	69.30	GｿﾕT]ト%
0x5F0	0x690	0x45	8	1	1	0	69.30	GｿﾕT]ト%
0x690	0x730	0x5	8	1	1	0	69.30	GｿﾕT]ト%
0x690	0x730	0x45	8	1	1	0	69.30	GｿﾕT]ト%
0x730	0x7D0	0x5	8	1	1	0	69.30	GｿﾕT]ト%
0x730	0x7D0	0x45	8	1	1	0	69.30	GｿﾕT]ト%
0x7D0	0x870	0x5	8	1	1	0	69.30	GｿﾕT]ト%
0x7D0	0x870	0x45	8	1	1	0	69.30	GｿﾕT]ト%
0x870	0x910	0x5	8	1	1	0	69.30	GｿﾕT]ト%
0x870	0x910	0x45	8	1	1	0	69.30	GｿﾕT]ト%
0x910	0x9B0	0x5	8	1	1	0	69.30	GｿﾕT]ト%
0x910	0x9B0	0x45	8	1	1	0	69.30	GｿﾕT]ト%
0x9B0	0xA50	0x5	8	1	1	0	69.30	GｿﾕT]ト%
0x9B0	0xA50	0x45	8	1	1	0	69.30	GｿﾕT]ト%
0xA50	0xAF0	0x5	8	1	1	0	69.30	GｿﾕT]ト%
0xA50	0xAF0	0x45	8	1	1	0	69.30	GｿﾕT]ト%
0xAF0	0xB90	0x5	8	1	1	0	69.30	GｿﾕT]ト%
0xAF0	0xB90	0x45	8	1	1	0	69.30	GｿﾕT]ト%
0xB90	0xC30	0x5	8	1	1	0	69.30	GｿﾕT]ト%
0xB90	0xC30	0x45	8	1	1	0	69.30	GｿﾕT]ト%
0xC30	0xCD0	0x5	8	1	1	0	69.30	GｿﾕT]ト%
0xC30	0xCD0	0x45	8	1	1	0	69.30	GｿﾕT]ト%
0x1190	0x1470	0xBF	18	1	1	0	69.30	h[uVャﾓ4>PﾛｦYj
0x1190	0x1470	0x21F	18	1	1	0	69.30	h[uVャﾓ4>PﾛｦYj
0x17F0	0x1E50	0x1A1	16	1	1	0	69.30	ﾅuﾟ･ｧデER9\｣[ﾑｯ
0x17F0	0x1E50	0x4C1	16	1	1	0	69.30	ﾅuﾟ･ｧデER9\｣[ﾑｯ
0x2CB0	0x3330	0x318	9	1	1	0	69.30	ﾍﾆﾒQ)?ポ
0x2CB0	0x3330	0x648	9	1	1	0	69.30	ﾍﾆﾒQ)?ポ
0x3FB0	0x4510	0x9E	8	1	1	0	69.30	ナ8｣F^
0x3FB0	0x4510	0x33E	8	1	1	0	69.30	ナ8｣F^
0x93D0	0x9970	0x24A	6	1	1	0	69.30	｣ユｻ/
